Compound Method,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-01,PRO01  BAC-01,,PRO02  BAC-02,PRO02  BAC-02,,PRO03  BAC-03,PRO03  BAC-03,,REP01  BAC-01,REP01  BAC-01,,REP02  BAC-02,REP02  BAC-02,,REP03  BAC-03,REP03  BAC-03,,REP04  BAC-01,REP04  BAC-01,,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-02,PRO01  BAC-02,,PRO02  BAC-03,PRO02  BAC-03,,PRO03  BAC-01,PRO03  BAC-01,,REP01  BAC-02,REP01  BAC-02,,REP02  BAC-03,REP02  BAC-03,,REP03  BAC-01,REP03  BAC-01,,REP04  BAC-02,REP04  BAC-02,,BLANK  BAC01,BLANK  BAC01,,BLANK  BAC02,BLANK  BAC02,,BLANK  BAC03,BLANK  BAC03,,PRO01  BAC-03,PRO01  BAC-03,,PRO02  BAC-01,PRO02  BAC-01,,PRO03  BAC-02,PRO03  BAC-02,,REP01  BAC-03,REP01  BAC-03,,REP02  BAC-01,REP02  BAC-01,,REP03  BAC-02,REP03  BAC-02,,REP04  BAC-03,REP04  BAC-03,
Methyl Isobutyl Ketone,JTB-E02-199-06.D,5.345,2201,JTB-E02-199-07.D,5.377,1116,JTB-E02-199-08.D,5.345,549,JTB-E02-199-11.D,5.353,57668,JTB-E02-199-12.D,5.336,122456,JTB-E02-199-13.D,5.369,72262,JTB-E02-199-14.D,5.353,60309,JTB-E02-199-15.D,5.353,92141,JTB-E02-199-16.D,5.345,65504,JTB-E02-199-17.D,5.353,77895,JTB-E02-200-06.D,5.328,2115,JTB-E02-200-07.D,,,JTB-E02-200-08.D,5.353,2400,JTB-E02-200-11.D,5.361,60372,JTB-E02-200-12.D,5.353,66068,JTB-E02-200-13.D,5.369,45145,JTB-E02-200-14.D,5.353,49948,JTB-E02-200-15.D,5.353,59492,JTB-E02-200-16.D,5.353,62433,JTB-E02-200-17.D,5.353,52220,JTB-E02-201-06.D,5.361,1191,JTB-E02-201-07.D,5.353,187,JTB-E02-201-08.D,5.353,387,JTB-E02-201-11.D,5.361,40581,JTB-E02-201-12.D,5.369,41335,JTB-E02-201-13.D,5.361,33034,JTB-E02-201-14.D,5.353,35865,JTB-E02-201-15.D,5.353,38968,JTB-E02-201-16.D,5.353,48916,JTB-E02-201-17.D,5.344,43894
"Butanoic acid, 2-methyl-, methyl ester",JTB-E02-199-06.D,,,JTB-E02-199-07.D,5.393,170,JTB-E02-199-08.D,5.410,693,JTB-E02-199-11.D,5.410,60512,JTB-E02-199-12.D,,,JTB-E02-199-13.D,5.434,61194,JTB-E02-199-14.D,5.410,67691,JTB-E02-199-15.D,5.418,95489,JTB-E02-199-16.D,5.410,85153,JTB-E02-199-17.D,5.410,57386,JTB-E02-200-06.D,5.434,288,JTB-E02-200-07.D,5.409,949,JTB-E02-200-08.D,5.426,365,JTB-E02-200-11.D,5.426,25244,JTB-E02-200-12.D,5.418,32893,JTB-E02-200-13.D,5.426,27597,JTB-E02-200-14.D,5.410,26428,JTB-E02-200-15.D,5.409,36289,JTB-E02-200-16.D,5.410,30479,JTB-E02-200-17.D,5.409,28778,JTB-E02-201-06.D,5.418,367,JTB-E02-201-07.D,,,JTB-E02-201-08.D,5.434,170,JTB-E02-201-11.D,5.418,10509,JTB-E02-201-12.D,5.426,13208,JTB-E02-201-13.D,5.434,12158,JTB-E02-201-14.D,5.418,11726,JTB-E02-201-15.D,5.410,16043,JTB-E02-201-16.D,5.418,18522,JTB-E02-201-17.D,5.401,11897
Isobutyl acetate,JTB-E02-199-06.D,5.458,861,JTB-E02-199-07.D,5.491,548,JTB-E02-199-08.D,,,JTB-E02-199-11.D,5.475,95156,JTB-E02-199-12.D,5.483,15196,JTB-E02-199-13.D,5.483,107220,JTB-E02-199-14.D,5.466,108199,JTB-E02-199-15.D,5.466,141217,JTB-E02-199-16.D,5.458,120681,JTB-E02-199-17.D,5.466,115009,JTB-E02-200-06.D,5.458,1480,JTB-E02-200-07.D,,,JTB-E02-200-08.D,,,JTB-E02-200-11.D,5.483,47715,JTB-E02-200-12.D,5.475,56899,JTB-E02-200-13.D,5.483,42774,JTB-E02-200-14.D,5.475,37272,JTB-E02-200-15.D,5.474,59763,JTB-E02-200-16.D,5.466,42866,JTB-E02-200-17.D,5.466,42099,JTB-E02-201-06.D,,,JTB-E02-201-07.D,5.434,761,JTB-E02-201-08.D,5.434,277,JTB-E02-201-11.D,5.475,18320,JTB-E02-201-12.D,5.474,18003,JTB-E02-201-13.D,5.483,19235,JTB-E02-201-14.D,5.466,13280,JTB-E02-201-15.D,5.458,16798,JTB-E02-201-16.D,5.474,29224,JTB-E02-201-17.D,5.466,20156
Methyl isovalerate,JTB-E02-199-06.D,5.588,1162,JTB-E02-199-07.D,5.604,59,JTB-E02-199-08.D,5.572,108,JTB-E02-199-11.D,5.580,518743,JTB-E02-199-12.D,,,JTB-E02-199-13.D,5.596,627738,JTB-E02-199-14.D,5.580,652956,JTB-E02-199-15.D,5.588,884108,JTB-E02-199-16.D,5.580,633584,JTB-E02-199-17.D,5.588,733440,JTB-E02-200-06.D,5.580,162,JTB-E02-200-07.D,5.572,228,JTB-E02-200-08.D,5.596,183,JTB-E02-200-11.D,5.596,263265,JTB-E02-200-12.D,5.588,306430,JTB-E02-200-13.D,5.596,260245,JTB-E02-200-14.D,5.588,235996,JTB-E02-200-15.D,5.588,322155,JTB-E02-200-16.D,5.580,269538,JTB-E02-200-17.D,5.588,287348,JTB-E02-201-06.D,,,JTB-E02-201-07.D,,,JTB-E02-201-08.D,5.564,547,JTB-E02-201-11.D,5.596,111032,JTB-E02-201-12.D,5.596,130346,JTB-E02-201-13.D,5.596,119437,JTB-E02-201-14.D,5.588,86075,JTB-E02-201-15.D,5.580,127857,JTB-E02-201-16.D,5.588,139622,JTB-E02-201-17.D,5.572,109642
2-Butanol,JTB-E02-199-06.D,5.710,19018,JTB-E02-199-07.D,5.702,23585,JTB-E02-199-08.D,5.726,1392,JTB-E02-199-11.D,5.710,128084,JTB-E02-199-12.D,5.710,302,JTB-E02-199-13.D,5.726,131651,JTB-E02-199-14.D,5.710,149696,JTB-E02-199-15.D,5.702,163338,JTB-E02-199-16.D,5.702,148866,JTB-E02-199-17.D,5.702,173441,JTB-E02-200-06.D,5.702,7911,JTB-E02-200-07.D,5.718,9401,JTB-E02-200-08.D,5.718,16165,JTB-E02-200-11.D,5.718,143288,JTB-E02-200-12.D,5.710,146412,JTB-E02-200-13.D,5.718,143743,JTB-E02-200-14.D,5.710,178262,JTB-E02-200-15.D,5.702,184438,JTB-E02-200-16.D,5.702,171677,JTB-E02-200-17.D,5.702,180693,JTB-E02-201-06.D,5.702,9652,JTB-E02-201-07.D,5.702,8848,JTB-E02-201-08.D,5.726,2225,JTB-E02-201-11.D,5.718,93099,JTB-E02-201-12.D,5.726,142149,JTB-E02-201-13.D,5.718,106303,JTB-E02-201-14.D,5.702,154028,JTB-E02-201-15.D,5.702,189087,JTB-E02-201-16.D,5.702,193075,JTB-E02-201-17.D,5.694,137747
Toluene,JTB-E02-199-06.D,5.994,55086,JTB-E02-199-07.D,5.994,80284,JTB-E02-199-08.D,5.995,681,JTB-E02-199-11.D,5.994,1703434,JTB-E02-199-12.D,6.003,6907,JTB-E02-199-13.D,6.011,1174432,JTB-E02-199-14.D,5.994,1188596,JTB-E02-199-15.D,5.994,1032287,JTB-E02-199-16.D,5.986,604133,JTB-E02-199-17.D,5.994,989876,JTB-E02-200-06.D,5.994,49780,JTB-E02-200-07.D,6.002,117001,JTB-E02-200-08.D,6.003,100276,JTB-E02-200-11.D,6.003,198517,JTB-E02-200-12.D,6.003,432279,JTB-E02-200-13.D,6.011,2171843,JTB-E02-200-14.D,5.994,632086,JTB-E02-200-15.D,5.994,405634,JTB-E02-200-16.D,5.994,735835,JTB-E02-200-17.D,5.994,1085003,JTB-E02-201-06.D,5.994,58356,JTB-E02-201-07.D,5.994,84570,JTB-E02-201-08.D,6.002,5872,JTB-E02-201-11.D,6.011,253409,JTB-E02-201-12.D,6.011,152482,JTB-E02-201-13.D,6.011,227408,JTB-E02-201-14.D,5.994,187696,JTB-E02-201-15.D,5.995,230059,JTB-E02-201-16.D,5.994,390381,JTB-E02-201-17.D,5.986,429437
"Butanoic acid, 2-methyl-, ethyl ester",JTB-E02-199-06.D,6.271,930,JTB-E02-199-07.D,6.287,203,JTB-E02-199-08.D,,,JTB-E02-199-11.D,6.271,55707,JTB-E02-199-12.D,6.271,84,JTB-E02-199-13.D,6.287,76024,JTB-E02-199-14.D,6.271,73302,JTB-E02-199-15.D,6.279,93372,JTB-E02-199-16.D,6.263,71054,JTB-E02-199-17.D,6.271,75669,JTB-E02-200-06.D,6.271,434,JTB-E02-200-07.D,6.270,325,JTB-E02-200-08.D,6.279,185,JTB-E02-200-11.D,6.287,20970,JTB-E02-200-12.D,6.279,23841,JTB-E02-200-13.D,6.287,22353,JTB-E02-200-14.D,6.271,17317,JTB-E02-200-15.D,6.279,24343,JTB-E02-200-16.D,6.271,21247,JTB-E02-200-17.D,6.270,22822,JTB-E02-201-06.D,6.287,64,JTB-E02-201-07.D,6.254,67,JTB-E02-201-08.D,6.279,459,JTB-E02-201-11.D,6.287,7307,JTB-E02-201-12.D,6.287,9561,JTB-E02-201-13.D,6.287,6442,JTB-E02-201-14.D,6.270,6357,JTB-E02-201-15.D,6.271,7114,JTB-E02-201-16.D,6.270,10044,JTB-E02-201-17.D,6.262,5806
"Butanoic acid, 3-methyl-, ethyl ester",JTB-E02-199-06.D,6.604,271,JTB-E02-199-07.D,,,JTB-E02-199-08.D,6.571,333,JTB-E02-199-11.D,6.596,387581,JTB-E02-199-12.D,6.595,517,JTB-E02-199-13.D,6.612,444051,JTB-E02-199-14.D,6.596,449861,JTB-E02-199-15.D,6.596,580906,JTB-E02-199-16.D,6.588,442687,JTB-E02-199-17.D,6.596,466458,JTB-E02-200-06.D,6.636,571,JTB-E02-200-07.D,6.628,552,JTB-E02-200-08.D,6.587,148,JTB-E02-200-11.D,6.604,118993,JTB-E02-200-12.D,6.596,148090,JTB-E02-200-13.D,6.604,130724,JTB-E02-200-14.D,6.596,104773,JTB-E02-200-15.D,6.595,146574,JTB-E02-200-16.D,6.596,122970,JTB-E02-200-17.D,6.595,130488,JTB-E02-201-06.D,6.587,298,JTB-E02-201-07.D,6.603,291,JTB-E02-201-08.D,6.628,593,JTB-E02-201-11.D,6.604,40976,JTB-E02-201-12.D,6.612,48821,JTB-E02-201-13.D,6.612,46971,JTB-E02-201-14.D,6.595,37973,JTB-E02-201-15.D,6.596,45176,JTB-E02-201-16.D,6.595,50228,JTB-E02-201-17.D,6.587,48312
"Disulfide, dimethyl",JTB-E02-199-06.D,6.685,83,JTB-E02-199-07.D,6.693,2523,JTB-E02-199-08.D,,,JTB-E02-199-11.D,6.685,8569173,JTB-E02-199-12.D,,,JTB-E02-199-13.D,6.701,2069558,JTB-E02-199-14.D,6.685,10464584,JTB-E02-199-15.D,6.685,11568039,JTB-E02-199-16.D,6.677,6010642,JTB-E02-199-17.D,6.685,9148104,JTB-E02-200-06.D,6.693,4370,JTB-E02-200-07.D,6.725,5303,JTB-E02-200-08.D,6.693,273,JTB-E02-200-11.D,6.693,1178147,JTB-E02-200-12.D,6.685,1315462,JTB-E02-200-13.D,6.693,1427175,JTB-E02-200-14.D,6.685,1409189,JTB-E02-200-15.D,6.685,1524261,JTB-E02-200-16.D,6.685,2034757,JTB-E02-200-17.D,6.685,2178296,JTB-E02-201-06.D,6.709,474,JTB-E02-201-07.D,6.693,286,JTB-E02-201-08.D,,,JTB-E02-201-11.D,6.693,177663,JTB-E02-201-12.D,6.701,295610,JTB-E02-201-13.D,6.701,320270,JTB-E02-201-14.D,6.685,246690,JTB-E02-201-15.D,6.677,428130,JTB-E02-201-16.D,6.685,752200,JTB-E02-201-17.D,6.669,280878
"Butanenitrile, 2-methyl-",JTB-E02-199-06.D,6.961,1211,JTB-E02-199-07.D,6.961,433,JTB-E02-199-08.D,6.994,205,JTB-E02-199-11.D,6.994,162765,JTB-E02-199-12.D,6.985,57715,JTB-E02-199-13.D,7.010,167534,JTB-E02-199-14.D,6.994,172435,JTB-E02-199-15.D,6.994,205970,JTB-E02-199-16.D,6.986,182054,JTB-E02-199-17.D,6.994,197397,JTB-E02-200-06.D,6.961,651,JTB-E02-200-07.D,6.961,57,JTB-E02-200-08.D,7.018,95,JTB-E02-200-11.D,7.010,148801,JTB-E02-200-12.D,7.002,152827,JTB-E02-200-13.D,7.010,145291,JTB-E02-200-14.D,6.994,138886,JTB-E02-200-15.D,6.993,158796,JTB-E02-200-16.D,6.994,145322,JTB-E02-200-17.D,6.993,154800,JTB-E02-201-06.D,6.994,333,JTB-E02-201-07.D,6.977,745,JTB-E02-201-08.D,,,JTB-E02-201-11.D,7.002,72844,JTB-E02-201-12.D,7.010,114735,JTB-E02-201-13.D,7.002,73205,JTB-E02-201-14.D,6.993,101614,JTB-E02-201-15.D,6.994,116395,JTB-E02-201-16.D,6.993,129321,JTB-E02-201-17.D,6.985,105532
"2-Butenal, 2-methyl-",JTB-E02-199-06.D,7.188,645,JTB-E02-199-07.D,,,JTB-E02-199-08.D,7.156,366,JTB-E02-199-11.D,7.180,150251,JTB-E02-199-12.D,7.205,855,JTB-E02-199-13.D,7.197,141582,JTB-E02-199-14.D,7.172,178669,JTB-E02-199-15.D,7.180,210070,JTB-E02-199-16.D,7.172,179889,JTB-E02-199-17.D,7.180,205789,JTB-E02-200-06.D,7.188,358,JTB-E02-200-07.D,7.180,623,JTB-E02-200-08.D,7.180,216,JTB-E02-200-11.D,7.188,82865,JTB-E02-200-12.D,7.180,164369,JTB-E02-200-13.D,7.189,110270,JTB-E02-200-14.D,7.180,150513,JTB-E02-200-15.D,7.172,131894,JTB-E02-200-16.D,7.180,167390,JTB-E02-200-17.D,7.172,172310,JTB-E02-201-06.D,7.197,247,JTB-E02-201-07.D,,,JTB-E02-201-08.D,,,JTB-E02-201-11.D,7.189,143010,JTB-E02-201-12.D,7.197,125402,JTB-E02-201-13.D,7.189,140403,JTB-E02-201-14.D,7.172,132126,JTB-E02-201-15.D,7.172,87762,JTB-E02-201-16.D,7.172,164484,JTB-E02-201-17.D,7.172,127858
"1-Propanol, 2-methyl-",JTB-E02-199-06.D,7.253,107,JTB-E02-199-07.D,,,JTB-E02-199-08.D,7.221,2274,JTB-E02-199-11.D,7.245,1437382,JTB-E02-199-12.D,7.245,1148,JTB-E02-199-13.D,7.229,1423897,JTB-E02-199-14.D,,,JTB-E02-199-15.D,7.262,2028129,JTB-E02-199-16.D,7.237,1880524,JTB-E02-199-17.D,7.262,1912224,JTB-E02-200-06.D,7.270,230,JTB-E02-200-07.D,7.278,316,JTB-E02-200-08.D,,,JTB-E02-200-11.D,7.245,1588184,JTB-E02-200-12.D,7.237,912832,JTB-E02-200-13.D,7.270,1618540,JTB-E02-200-14.D,7.245,1827840,JTB-E02-200-15.D,7.253,1836091,JTB-E02-200-16.D,7.262,1929089,JTB-E02-200-17.D,7.245,1854395,JTB-E02-201-06.D,7.278,455,JTB-E02-201-07.D,,,JTB-E02-201-08.D,7.245,544,JTB-E02-201-11.D,7.245,1423257,JTB-E02-201-12.D,7.270,1700523,JTB-E02-201-13.D,7.262,1565772,JTB-E02-201-14.D,7.237,1731439,JTB-E02-201-15.D,7.254,1636682,JTB-E02-201-16.D,7.253,1895567,JTB-E02-201-17.D,7.237,1801381
"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-",JTB-E02-199-06.D,,,JTB-E02-199-07.D,,,JTB-E02-199-08.D,,,JTB-E02-199-11.D,7.570,1683256,JTB-E02-199-12.D,7.570,56912,JTB-E02-199-13.D,,,JTB-E02-199-14.D,,,JTB-E02-199-15.D,7.562,2388705,JTB-E02-199-16.D,7.570,2463076,JTB-E02-199-17.D,7.562,1910680,JTB-E02-200-06.D,,,JTB-E02-200-07.D,,,JTB-E02-200-08.D,,,JTB-E02-200-11.D,7.595,430128,JTB-E02-200-12.D,7.587,555927,JTB-E02-200-13.D,7.578,553816,JTB-E02-200-14.D,7.570,433572,JTB-E02-200-15.D,7.570,539904,JTB-E02-200-16.D,7.562,366718,JTB-E02-200-17.D,7.570,545677,JTB-E02-201-06.D,7.595,160,JTB-E02-201-07.D,,,JTB-E02-201-08.D,,,JTB-E02-201-11.D,7.587,173045,JTB-E02-201-12.D,7.578,240022,JTB-E02-201-13.D,7.587,241139,JTB-E02-201-14.D,7.578,183448,JTB-E02-201-15.D,7.562,172166,JTB-E02-201-16.D,7.570,224431,JTB-E02-201-17.D,7.562,191121
"1-Butanol, 3-methyl-, acetate",JTB-E02-199-06.D,7.887,190,JTB-E02-199-07.D,,,JTB-E02-199-08.D,7.895,1227,JTB-E02-199-11.D,7.895,71440,JTB-E02-199-12.D,,,JTB-E02-199-13.D,,,JTB-E02-199-14.D,,,JTB-E02-199-15.D,7.895,99897,JTB-E02-199-16.D,7.895,112956,JTB-E02-199-17.D,7.895,96389,JTB-E02-200-06.D,,,JTB-E02-200-07.D,7.887,1548,JTB-E02-200-08.D,7.863,470,JTB-E02-200-11.D,,,JTB-E02-200-12.D,,,JTB-E02-200-13.D,7.912,29248,JTB-E02-200-14.D,,,JTB-E02-200-15.D,7.895,31166,JTB-E02-200-16.D,7.887,23739,JTB-E02-200-17.D,7.895,3830,JTB-E02-201-06.D,7.895,229,JTB-E02-201-07.D,7.911,1104,JTB-E02-201-08.D,7.871,1807,JTB-E02-201-11.D,,,JTB-E02-201-12.D,7.920,9786,JTB-E02-201-13.D,,,JTB-E02-201-14.D,,,JTB-E02-201-15.D,,,JTB-E02-201-16.D,,,JTB-E02-201-17.D,7.895,13384
"Butanenitrile, 3-methyl-",JTB-E02-199-06.D,7.960,236,JTB-E02-199-07.D,7.984,25,JTB-E02-199-08.D,7.960,180,JTB-E02-199-11.D,7.968,42,JTB-E02-199-12.D,7.985,50,JTB-E02-199-13.D,7.985,844,JTB-E02-199-14.D,7.960,595,JTB-E02-199-15.D,7.993,1830,JTB-E02-199-16.D,7.960,679,JTB-E02-199-17.D,7.968,1197,JTB-E02-200-06.D,7.968,364,JTB-E02-200-07.D,7.960,272,JTB-E02-200-08.D,7.944,295,JTB-E02-200-11.D,7.976,1072,JTB-E02-200-12.D,7.968,1083,JTB-E02-200-13.D,7.976,1087,JTB-E02-200-14.D,7.960,643,JTB-E02-200-15.D,7.960,204,JTB-E02-200-16.D,7.952,363,JTB-E02-200-17.D,7.952,1208,JTB-E02-201-06.D,7.968,129,JTB-E02-201-07.D,8.001,57,JTB-E02-201-08.D,7.944,225,JTB-E02-201-11.D,7.968,1886,JTB-E02-201-12.D,7.993,667,JTB-E02-201-13.D,7.976,1947,JTB-E02-201-14.D,7.960,253,JTB-E02-201-15.D,7.977,852,JTB-E02-201-16.D,7.968,743,JTB-E02-201-17.D,7.960,242
"2-Pentene, 4,4-dimethyl-",JTB-E02-199-06.D,8.171,310,JTB-E02-199-07.D,8.179,167,JTB-E02-199-08.D,,,JTB-E02-199-11.D,8.163,30102,JTB-E02-199-12.D,8.188,150,JTB-E02-199-13.D,8.180,30677,JTB-E02-199-14.D,8.163,39870,JTB-E02-199-15.D,8.163,47166,JTB-E02-199-16.D,8.163,47009,JTB-E02-199-17.D,8.171,45456,JTB-E02-200-06.D,8.171,464,JTB-E02-200-07.D,8.171,936,JTB-E02-200-08.D,8.171,418,JTB-E02-200-11.D,8.180,30442,JTB-E02-200-12.D,8.180,35796,JTB-E02-200-13.D,8.171,17022,JTB-E02-200-14.D,8.163,29569,JTB-E02-200-15.D,8.163,38380,JTB-E02-200-16.D,8.163,36682,JTB-E02-200-17.D,8.163,34109,JTB-E02-201-06.D,8.163,727,JTB-E02-201-07.D,8.147,161,JTB-E02-201-08.D,8.163,221,JTB-E02-201-11.D,8.180,27185,JTB-E02-201-12.D,8.179,29542,JTB-E02-201-13.D,8.180,29747,JTB-E02-201-14.D,8.163,27794,JTB-E02-201-15.D,8.163,29222,JTB-E02-201-16.D,8.163,27842,JTB-E02-201-17.D,8.155,30473
o-Xylene,JTB-E02-199-06.D,8.350,19983,JTB-E02-199-07.D,,,JTB-E02-199-08.D,8.318,477,JTB-E02-199-11.D,8.334,38148,JTB-E02-199-12.D,8.358,577,JTB-E02-199-13.D,,,JTB-E02-199-14.D,8.350,35423,JTB-E02-199-15.D,8.326,47449,JTB-E02-199-16.D,8.334,56233,JTB-E02-199-17.D,8.326,45196,JTB-E02-200-06.D,8.350,934,JTB-E02-200-07.D,8.301,323,JTB-E02-200-08.D,8.326,407,JTB-E02-200-11.D,8.358,5671,JTB-E02-200-12.D,8.350,19749,JTB-E02-200-13.D,8.350,16723,JTB-E02-200-14.D,8.326,13730,JTB-E02-200-15.D,8.326,29081,JTB-E02-200-16.D,8.326,38942,JTB-E02-200-17.D,8.334,32093,JTB-E02-201-06.D,,,JTB-E02-201-07.D,,,JTB-E02-201-08.D,8.350,1027,JTB-E02-201-11.D,8.342,26218,JTB-E02-201-12.D,8.350,6510,JTB-E02-201-13.D,8.342,8164,JTB-E02-201-14.D,8.342,15207,JTB-E02-201-15.D,8.326,10994,JTB-E02-201-16.D,8.334,9784,JTB-E02-201-17.D,8.334,11576
1-Butanol,JTB-E02-199-06.D,,,JTB-E02-199-07.D,,,JTB-E02-199-08.D,,,JTB-E02-199-11.D,8.561,236073,JTB-E02-199-12.D,,,JTB-E02-199-13.D,8.561,231470,JTB-E02-199-14.D,8.553,363724,JTB-E02-199-15.D,8.569,545231,JTB-E02-199-16.D,8.553,432386,JTB-E02-199-17.D,8.570,428977,JTB-E02-200-06.D,,,JTB-E02-200-07.D,8.553,1474,JTB-E02-200-08.D,,,JTB-E02-200-11.D,8.569,260855,JTB-E02-200-12.D,8.561,253447,JTB-E02-200-13.D,8.586,310900,JTB-E02-200-14.D,8.561,661869,JTB-E02-200-15.D,8.569,724102,JTB-E02-200-16.D,8.570,536918,JTB-E02-200-17.D,8.561,561466,JTB-E02-201-06.D,8.537,3237,JTB-E02-201-07.D,8.569,952,JTB-E02-201-08.D,,,JTB-E02-201-11.D,8.569,256636,JTB-E02-201-12.D,8.586,296841,JTB-E02-201-13.D,8.578,302245,JTB-E02-201-14.D,8.553,794917,JTB-E02-201-15.D,8.561,907771,JTB-E02-201-16.D,8.569,777487,JTB-E02-201-17.D,8.553,663654
"Cyclopentasiloxane, decamethyl-",JTB-E02-199-06.D,8.813,1621145,JTB-E02-199-07.D,8.813,1130343,JTB-E02-199-08.D,8.821,15506,JTB-E02-199-11.D,8.805,295769,JTB-E02-199-12.D,,,JTB-E02-199-13.D,8.829,230549,JTB-E02-199-14.D,8.821,194963,JTB-E02-199-15.D,8.805,199647,JTB-E02-199-16.D,8.805,203801,JTB-E02-199-17.D,8.813,384088,JTB-E02-200-06.D,8.813,536560,JTB-E02-200-07.D,8.829,427914,JTB-E02-200-08.D,8.829,273600,JTB-E02-200-11.D,8.821,419150,JTB-E02-200-12.D,8.821,630966,JTB-E02-200-13.D,8.821,444294,JTB-E02-200-14.D,8.805,286937,JTB-E02-200-15.D,8.805,234005,JTB-E02-200-16.D,8.805,319362,JTB-E02-200-17.D,8.805,288777,JTB-E02-201-06.D,8.821,627587,JTB-E02-201-07.D,8.821,449665,JTB-E02-201-08.D,8.837,95688,JTB-E02-201-11.D,8.821,991794,JTB-E02-201-12.D,8.821,542467,JTB-E02-201-13.D,8.821,493704,JTB-E02-201-14.D,8.805,288496,JTB-E02-201-15.D,8.805,329490,JTB-E02-201-16.D,8.805,365102,JTB-E02-201-17.D,8.805,234579
"2-Butenoic acid, 3-methyl-, methyl ester",JTB-E02-199-06.D,9.162,926,JTB-E02-199-07.D,9.138,769,JTB-E02-199-08.D,9.098,250,JTB-E02-199-11.D,9.130,104706,JTB-E02-199-12.D,9.138,241,JTB-E02-199-13.D,9.146,43260,JTB-E02-199-14.D,9.138,134734,JTB-E02-199-15.D,9.130,170414,JTB-E02-199-16.D,9.130,166098,JTB-E02-199-17.D,9.130,168799,JTB-E02-200-06.D,9.154,137,JTB-E02-200-07.D,9.105,122,JTB-E02-200-08.D,9.106,190,JTB-E02-200-11.D,9.138,52872,JTB-E02-200-12.D,9.138,46253,JTB-E02-200-13.D,9.146,70448,JTB-E02-200-14.D,9.130,54562,JTB-E02-200-15.D,9.130,78984,JTB-E02-200-16.D,9.130,71631,JTB-E02-200-17.D,9.130,70891,JTB-E02-201-06.D,9.106,280,JTB-E02-201-07.D,,,JTB-E02-201-08.D,,,JTB-E02-201-11.D,9.146,27685,JTB-E02-201-12.D,9.146,29964,JTB-E02-201-13.D,9.146,30289,JTB-E02-201-14.D,9.130,27793,JTB-E02-201-15.D,9.122,34443,JTB-E02-201-16.D,9.130,35152,JTB-E02-201-17.D,9.122,33910
"7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)-",JTB-E02-199-06.D,9.463,60,JTB-E02-199-07.D,9.463,190,JTB-E02-199-08.D,,,JTB-E02-199-11.D,9.447,67296,JTB-E02-199-12.D,,,JTB-E02-199-13.D,9.479,96762,JTB-E02-199-14.D,9.471,106478,JTB-E02-199-15.D,9.447,114438,JTB-E02-199-16.D,9.447,107263,JTB-E02-199-17.D,9.447,105017,JTB-E02-200-06.D,,,JTB-E02-200-07.D,9.438,175,JTB-E02-200-08.D,,,JTB-E02-200-11.D,9.471,30870,JTB-E02-200-12.D,9.471,35761,JTB-E02-200-13.D,9.463,32365,JTB-E02-200-14.D,9.447,25996,JTB-E02-200-15.D,9.447,33233,JTB-E02-200-16.D,9.447,24978,JTB-E02-200-17.D,9.455,34838,JTB-E02-201-06.D,9.447,294,JTB-E02-201-07.D,9.430,417,JTB-E02-201-08.D,,,JTB-E02-201-11.D,9.463,15464,JTB-E02-201-12.D,9.463,18797,JTB-E02-201-13.D,9.463,24280,JTB-E02-201-14.D,9.463,14486,JTB-E02-201-15.D,9.439,16474,JTB-E02-201-16.D,9.447,21911,JTB-E02-201-17.D,9.455,18490
