Compound Method,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-01,PRO01  BAC-01,,PRO02  BAC-02,PRO02  BAC-02,,PRO03  BAC-03,PRO03  BAC-03,,REP01  BAC-01,REP01  BAC-01,,REP02  BAC-02,REP02  BAC-02,,REP03  BAC-03,REP03  BAC-03,,REP04  BAC-01,REP04  BAC-01,,BLANK  BAC-01,BLANK  BAC-01,,BLANK  BAC-02,BLANK  BAC-02,,BLANK  BAC-03,BLANK  BAC-03,,PRO01  BAC-02,PRO01  BAC-02,,PRO02  BAC-03,PRO02  BAC-03,,PRO03  BAC-01,PRO03  BAC-01,,REP01  BAC-02,REP01  BAC-02,,REP02  BAC-03,REP02  BAC-03,,REP03  BAC-01,REP03  BAC-01,,REP04  BAC-02,REP04  BAC-02,,BLANK  BAC01,BLANK  BAC01,,BLANK  BAC02,BLANK  BAC02,,BLANK  BAC03,BLANK  BAC03,,PRO01  BAC-03,PRO01  BAC-03,,PRO02  BAC-01,PRO02  BAC-01,,PRO03  BAC-02,PRO03  BAC-02,,REP01  BAC-03,REP01  BAC-03,,REP02  BAC-01,REP02  BAC-01,,REP03  BAC-02,REP03  BAC-02,,REP04  BAC-03,REP04  BAC-03,
2-Heptanone,JTB-E02-199-06.D,9.544,1977,JTB-E02-199-07.D,9.544,3587,JTB-E02-199-08.D,9.520,616,JTB-E02-199-11.D,9.536,26848,JTB-E02-199-12.D,,,JTB-E02-199-13.D,9.552,31517,JTB-E02-199-14.D,9.544,29386,JTB-E02-199-15.D,9.536,39245,JTB-E02-199-16.D,9.536,41588,JTB-E02-199-17.D,9.536,44046,JTB-E02-200-06.D,9.536,304,JTB-E02-200-07.D,9.536,1784,JTB-E02-200-08.D,9.560,1925,JTB-E02-200-11.D,9.552,14481,JTB-E02-200-12.D,9.544,14897,JTB-E02-200-13.D,9.544,20163,JTB-E02-200-14.D,9.536,33702,JTB-E02-200-15.D,9.536,64958,JTB-E02-200-16.D,9.536,42272,JTB-E02-200-17.D,9.536,51875,JTB-E02-201-06.D,,,JTB-E02-201-07.D,9.536,295,JTB-E02-201-08.D,9.520,108,JTB-E02-201-11.D,9.544,12409,JTB-E02-201-12.D,9.552,7440,JTB-E02-201-13.D,9.552,10583,JTB-E02-201-14.D,9.536,40137,JTB-E02-201-15.D,9.536,59770,JTB-E02-201-16.D,9.536,47096,JTB-E02-201-17.D,9.528,51355
"2-Butenal, 3-methyl-",JTB-E02-199-06.D,9.975,5703,JTB-E02-199-07.D,9.999,2495,JTB-E02-199-08.D,,,JTB-E02-199-11.D,9.959,78002,JTB-E02-199-12.D,9.950,5791,JTB-E02-199-13.D,,,JTB-E02-199-14.D,9.991,104947,JTB-E02-199-15.D,9.959,159896,JTB-E02-199-16.D,9.967,104527,JTB-E02-199-17.D,9.959,125044,JTB-E02-200-06.D,9.958,387,JTB-E02-200-07.D,,,JTB-E02-200-08.D,9.975,60,JTB-E02-200-11.D,9.991,12003,JTB-E02-200-12.D,9.983,15724,JTB-E02-200-13.D,9.975,15065,JTB-E02-200-14.D,9.958,12198,JTB-E02-200-15.D,9.975,12627,JTB-E02-200-16.D,9.959,17110,JTB-E02-200-17.D,9.966,21863,JTB-E02-201-06.D,9.991,1257,JTB-E02-201-07.D,9.991,353,JTB-E02-201-08.D,,,JTB-E02-201-11.D,9.983,3217,JTB-E02-201-12.D,9.975,2644,JTB-E02-201-13.D,9.983,5900,JTB-E02-201-14.D,9.975,6728,JTB-E02-201-15.D,9.967,4524,JTB-E02-201-16.D,9.958,6814,JTB-E02-201-17.D,9.958,6677
"1-Butanol, 3-methyl-",JTB-E02-199-06.D,10.357,1456,JTB-E02-199-07.D,10.324,3507,JTB-E02-199-08.D,10.332,178,JTB-E02-199-11.D,10.348,5382474,JTB-E02-199-12.D,,,JTB-E02-199-13.D,10.357,4673163,JTB-E02-199-14.D,10.348,7531782,JTB-E02-199-15.D,10.357,9892330,JTB-E02-199-16.D,10.349,9034880,JTB-E02-199-17.D,10.357,9183381,JTB-E02-200-06.D,10.340,3756,JTB-E02-200-07.D,10.356,4273,JTB-E02-200-08.D,10.348,7067,JTB-E02-200-11.D,10.357,5433724,JTB-E02-200-12.D,10.357,6281174,JTB-E02-200-13.D,10.365,5145772,JTB-E02-200-14.D,10.348,11275655,JTB-E02-200-15.D,10.356,11316347,JTB-E02-200-16.D,10.357,11112356,JTB-E02-200-17.D,10.348,10988136,JTB-E02-201-06.D,10.348,680,JTB-E02-201-07.D,10.340,6470,JTB-E02-201-08.D,10.365,740,JTB-E02-201-11.D,10.357,5217548,JTB-E02-201-12.D,10.365,5640221,JTB-E02-201-13.D,10.365,5155465,JTB-E02-201-14.D,10.348,11847598,JTB-E02-201-15.D,10.348,11684296,JTB-E02-201-16.D,10.356,13733921,JTB-E02-201-17.D,10.348,11787905
"(2R,5S)-2-Methyl-5-(prop-1-en-2-yl)-2-vinyltetrahydrofuran",JTB-E02-199-06.D,11.356,258,JTB-E02-199-07.D,11.372,302,JTB-E02-199-08.D,11.372,525,JTB-E02-199-11.D,11.356,1075541,JTB-E02-199-12.D,,,JTB-E02-199-13.D,11.372,1368654,JTB-E02-199-14.D,11.372,1407237,JTB-E02-199-15.D,11.356,1619083,JTB-E02-199-16.D,11.356,1488385,JTB-E02-199-17.D,11.348,1324457,JTB-E02-200-06.D,11.364,209,JTB-E02-200-07.D,11.372,478,JTB-E02-200-08.D,11.331,94,JTB-E02-200-11.D,11.372,251512,JTB-E02-200-12.D,11.364,312984,JTB-E02-200-13.D,11.364,288702,JTB-E02-200-14.D,11.356,224687,JTB-E02-200-15.D,11.347,290073,JTB-E02-200-16.D,11.356,243596,JTB-E02-200-17.D,11.356,271473,JTB-E02-201-06.D,11.388,796,JTB-E02-201-07.D,11.372,145,JTB-E02-201-08.D,11.347,399,JTB-E02-201-11.D,11.364,51773,JTB-E02-201-12.D,11.364,116387,JTB-E02-201-13.D,11.364,76247,JTB-E02-201-14.D,11.364,88192,JTB-E02-201-15.D,11.356,90212,JTB-E02-201-16.D,11.356,114290,JTB-E02-201-17.D,11.356,95421
Thiazole,JTB-E02-199-06.D,11.534,884,JTB-E02-199-07.D,11.502,667,JTB-E02-199-08.D,,,JTB-E02-199-11.D,11.510,84415,JTB-E02-199-12.D,,,JTB-E02-199-13.D,11.526,108703,JTB-E02-199-14.D,11.518,98058,JTB-E02-199-15.D,11.518,115228,JTB-E02-199-16.D,11.510,117867,JTB-E02-199-17.D,11.518,116693,JTB-E02-200-06.D,11.526,2303,JTB-E02-200-07.D,11.542,1114,JTB-E02-200-08.D,11.518,452,JTB-E02-200-11.D,11.526,110446,JTB-E02-200-12.D,11.518,113385,JTB-E02-200-13.D,11.526,121240,JTB-E02-200-14.D,11.518,103262,JTB-E02-200-15.D,11.518,127136,JTB-E02-200-16.D,11.518,115748,JTB-E02-200-17.D,11.510,113508,JTB-E02-201-06.D,11.510,693,JTB-E02-201-07.D,11.542,1092,JTB-E02-201-08.D,11.534,140,JTB-E02-201-11.D,11.526,110008,JTB-E02-201-12.D,11.534,111447,JTB-E02-201-13.D,11.526,122033,JTB-E02-201-14.D,11.510,105728,JTB-E02-201-15.D,11.518,104751,JTB-E02-201-16.D,11.518,129102,JTB-E02-201-17.D,11.510,98816
1-Pentanol,JTB-E02-199-06.D,11.640,446,JTB-E02-199-07.D,11.672,482,JTB-E02-199-08.D,11.681,84,JTB-E02-199-11.D,11.632,36424,JTB-E02-199-12.D,,,JTB-E02-199-13.D,11.640,40665,JTB-E02-199-14.D,11.632,36483,JTB-E02-199-15.D,11.632,51152,JTB-E02-199-16.D,11.632,53178,JTB-E02-199-17.D,11.640,49283,JTB-E02-200-06.D,,,JTB-E02-200-07.D,11.632,787,JTB-E02-200-08.D,11.640,1234,JTB-E02-200-11.D,11.640,38525,JTB-E02-200-12.D,11.640,36703,JTB-E02-200-13.D,11.648,47832,JTB-E02-200-14.D,11.632,45134,JTB-E02-200-15.D,11.632,55828,JTB-E02-200-16.D,11.632,51684,JTB-E02-200-17.D,11.632,50518,JTB-E02-201-06.D,11.648,247,JTB-E02-201-07.D,11.672,628,JTB-E02-201-08.D,11.664,121,JTB-E02-201-11.D,11.640,38066,JTB-E02-201-12.D,11.648,40169,JTB-E02-201-13.D,11.648,41754,JTB-E02-201-14.D,11.640,36918,JTB-E02-201-15.D,11.632,53968,JTB-E02-201-16.D,11.632,53472,JTB-E02-201-17.D,11.632,48912
3-Aminopyridine,JTB-E02-199-06.D,12.030,717,JTB-E02-199-07.D,12.013,734,JTB-E02-199-08.D,,,JTB-E02-199-11.D,12.022,33740,JTB-E02-199-12.D,,,JTB-E02-199-13.D,12.038,52839,JTB-E02-199-14.D,12.030,44015,JTB-E02-199-15.D,12.030,54122,JTB-E02-199-16.D,12.022,53160,JTB-E02-199-17.D,12.030,53670,JTB-E02-200-06.D,12.046,1789,JTB-E02-200-07.D,12.038,139,JTB-E02-200-08.D,12.046,775,JTB-E02-200-11.D,12.038,53656,JTB-E02-200-12.D,12.038,55562,JTB-E02-200-13.D,12.038,63010,JTB-E02-200-14.D,12.030,43159,JTB-E02-200-15.D,12.022,52590,JTB-E02-200-16.D,12.030,47555,JTB-E02-200-17.D,12.030,49665,JTB-E02-201-06.D,12.030,249,JTB-E02-201-07.D,12.046,1090,JTB-E02-201-08.D,12.022,344,JTB-E02-201-11.D,12.038,47738,JTB-E02-201-12.D,12.038,51043,JTB-E02-201-13.D,12.046,57787,JTB-E02-201-14.D,12.030,45698,JTB-E02-201-15.D,12.030,48628,JTB-E02-201-16.D,12.022,52200,JTB-E02-201-17.D,12.030,52482
o-Cymene,JTB-E02-199-06.D,12.160,2081,JTB-E02-199-07.D,12.168,3396,JTB-E02-199-08.D,12.176,577,JTB-E02-199-11.D,12.144,1407289,JTB-E02-199-12.D,,,JTB-E02-199-13.D,12.168,2193766,JTB-E02-199-14.D,12.160,2059490,JTB-E02-199-15.D,12.144,2382483,JTB-E02-199-16.D,12.144,2062914,JTB-E02-199-17.D,12.144,1887910,JTB-E02-200-06.D,,,JTB-E02-200-07.D,,,JTB-E02-200-08.D,,,JTB-E02-200-11.D,12.160,157509,JTB-E02-200-12.D,12.160,220237,JTB-E02-200-13.D,12.160,221072,JTB-E02-200-14.D,12.144,143614,JTB-E02-200-15.D,12.143,186305,JTB-E02-200-16.D,12.144,163318,JTB-E02-200-17.D,12.143,176035,JTB-E02-201-06.D,,,JTB-E02-201-07.D,12.176,881,JTB-E02-201-08.D,,,JTB-E02-201-11.D,12.160,29332,JTB-E02-201-12.D,12.160,38649,JTB-E02-201-13.D,12.160,39385,JTB-E02-201-14.D,12.144,19015,JTB-E02-201-15.D,12.144,27863,JTB-E02-201-16.D,12.143,30587,JTB-E02-201-17.D,12.144,29969
Methyl 4-benzoylbutyrate,JTB-E02-199-06.D,12.469,4484,JTB-E02-199-07.D,,,JTB-E02-199-08.D,12.444,325,JTB-E02-199-11.D,12.444,80928,JTB-E02-199-12.D,,,JTB-E02-199-13.D,12.452,192022,JTB-E02-199-14.D,12.444,80343,JTB-E02-199-15.D,12.452,61564,JTB-E02-199-16.D,12.444,83253,JTB-E02-199-17.D,12.452,104895,JTB-E02-200-06.D,12.436,959,JTB-E02-200-07.D,,,JTB-E02-200-08.D,12.469,1084,JTB-E02-200-11.D,12.452,70761,JTB-E02-200-12.D,12.452,72799,JTB-E02-200-13.D,12.452,83041,JTB-E02-200-14.D,12.444,45322,JTB-E02-200-15.D,12.444,62890,JTB-E02-200-16.D,12.452,76768,JTB-E02-200-17.D,12.444,52028,JTB-E02-201-06.D,12.477,5711,JTB-E02-201-07.D,12.477,1711,JTB-E02-201-08.D,12.485,409,JTB-E02-201-11.D,12.452,118373,JTB-E02-201-12.D,12.452,68058,JTB-E02-201-13.D,12.452,67406,JTB-E02-201-14.D,12.452,48765,JTB-E02-201-15.D,12.436,50222,JTB-E02-201-16.D,12.444,56387,JTB-E02-201-17.D,12.452,43841
"Pyrazine, 2,6-dimethyl-",JTB-E02-199-06.D,,,JTB-E02-199-07.D,14.028,8979,JTB-E02-199-08.D,13.988,207,JTB-E02-199-11.D,14.004,119061,JTB-E02-199-12.D,,,JTB-E02-199-13.D,14.012,149445,JTB-E02-199-14.D,14.004,158945,JTB-E02-199-15.D,13.996,174586,JTB-E02-199-16.D,13.996,167079,JTB-E02-199-17.D,14.004,190031,JTB-E02-200-06.D,14.028,328,JTB-E02-200-07.D,14.020,509,JTB-E02-200-08.D,14.036,2731,JTB-E02-200-11.D,14.012,164123,JTB-E02-200-12.D,14.004,178326,JTB-E02-200-13.D,14.012,178767,JTB-E02-200-14.D,14.004,156841,JTB-E02-200-15.D,13.996,142903,JTB-E02-200-16.D,14.004,157468,JTB-E02-200-17.D,14.004,139868,JTB-E02-201-06.D,13.996,1112,JTB-E02-201-07.D,13.996,1796,JTB-E02-201-08.D,14.020,162,JTB-E02-201-11.D,14.012,167552,JTB-E02-201-12.D,14.012,171554,JTB-E02-201-13.D,14.012,162464,JTB-E02-201-14.D,14.004,115047,JTB-E02-201-15.D,13.996,137821,JTB-E02-201-16.D,14.004,157003,JTB-E02-201-17.D,13.996,136676
1-Hexanol,JTB-E02-199-06.D,14.873,7762,JTB-E02-199-07.D,14.865,1860,JTB-E02-199-08.D,14.816,139,JTB-E02-199-11.D,14.849,2600120,JTB-E02-199-12.D,,,JTB-E02-199-13.D,14.857,3212968,JTB-E02-199-14.D,14.857,3594079,JTB-E02-199-15.D,14.849,4063653,JTB-E02-199-16.D,14.849,3721689,JTB-E02-199-17.D,14.849,3611004,JTB-E02-200-06.D,14.873,23590,JTB-E02-200-07.D,14.873,32079,JTB-E02-200-08.D,14.889,25047,JTB-E02-200-11.D,14.857,2897110,JTB-E02-200-12.D,14.857,3304499,JTB-E02-200-13.D,14.857,3077319,JTB-E02-200-14.D,14.849,2941442,JTB-E02-200-15.D,14.848,3587186,JTB-E02-200-16.D,14.849,3163837,JTB-E02-200-17.D,14.848,3152157,JTB-E02-201-06.D,14.857,15091,JTB-E02-201-07.D,14.873,27204,JTB-E02-201-08.D,14.881,1004,JTB-E02-201-11.D,14.857,2658348,JTB-E02-201-12.D,14.865,2822207,JTB-E02-201-13.D,14.857,2702299,JTB-E02-201-14.D,14.849,2772364,JTB-E02-201-15.D,14.849,2838610,JTB-E02-201-16.D,14.848,3529628,JTB-E02-201-17.D,14.849,2758426
Dimethyl trisulfide,JTB-E02-199-06.D,,,JTB-E02-199-07.D,,,JTB-E02-199-08.D,,,JTB-E02-199-11.D,15.564,196000,JTB-E02-199-12.D,15.531,254818,JTB-E02-199-13.D,15.580,57214,JTB-E02-199-14.D,15.580,372361,JTB-E02-199-15.D,15.563,565282,JTB-E02-199-16.D,15.564,123015,JTB-E02-199-17.D,15.564,298841,JTB-E02-200-06.D,,,JTB-E02-200-07.D,,,JTB-E02-200-08.D,15.580,221,JTB-E02-200-11.D,15.580,26325,JTB-E02-200-12.D,15.563,9859,JTB-E02-200-13.D,15.572,25551,JTB-E02-200-14.D,15.563,31518,JTB-E02-200-15.D,15.555,20511,JTB-E02-200-16.D,15.555,68597,JTB-E02-200-17.D,15.563,118429,JTB-E02-201-06.D,,,JTB-E02-201-07.D,,,JTB-E02-201-08.D,15.588,332,JTB-E02-201-11.D,15.572,3820,JTB-E02-201-12.D,15.580,2904,JTB-E02-201-13.D,15.572,5747,JTB-E02-201-14.D,15.555,6273,JTB-E02-201-15.D,15.555,5989,JTB-E02-201-16.D,15.563,35269,JTB-E02-201-17.D,15.555,13777
"3-Hexen-1-ol, (E)-",JTB-E02-199-06.D,15.799,865,JTB-E02-199-07.D,15.783,352,JTB-E02-199-08.D,15.824,339,JTB-E02-199-11.D,15.807,90032,JTB-E02-199-12.D,,,JTB-E02-199-13.D,15.815,127001,JTB-E02-199-14.D,15.815,153485,JTB-E02-199-15.D,15.807,171792,JTB-E02-199-16.D,15.807,182387,JTB-E02-199-17.D,15.815,158410,JTB-E02-200-06.D,15.815,241,JTB-E02-200-07.D,15.831,1569,JTB-E02-200-08.D,15.807,130,JTB-E02-200-11.D,15.815,123696,JTB-E02-200-12.D,15.815,141450,JTB-E02-200-13.D,15.815,128130,JTB-E02-200-14.D,15.807,196046,JTB-E02-200-15.D,15.807,232278,JTB-E02-200-16.D,15.807,186478,JTB-E02-200-17.D,15.807,174749,JTB-E02-201-06.D,15.832,366,JTB-E02-201-07.D,15.815,1564,JTB-E02-201-08.D,15.799,1645,JTB-E02-201-11.D,15.815,115551,JTB-E02-201-12.D,15.815,130863,JTB-E02-201-13.D,15.815,126817,JTB-E02-201-14.D,15.807,282746,JTB-E02-201-15.D,15.799,306730,JTB-E02-201-16.D,15.807,300687,JTB-E02-201-17.D,15.807,229362
2-Nonanone,JTB-E02-199-06.D,,,JTB-E02-199-07.D,15.904,782,JTB-E02-199-08.D,15.913,29,JTB-E02-199-11.D,15.913,5331,JTB-E02-199-12.D,,,JTB-E02-199-13.D,15.921,11533,JTB-E02-199-14.D,15.929,9215,JTB-E02-199-15.D,15.905,15790,JTB-E02-199-16.D,15.905,13000,JTB-E02-199-17.D,15.905,14681,JTB-E02-200-06.D,15.937,545,JTB-E02-200-07.D,15.913,547,JTB-E02-200-08.D,15.937,785,JTB-E02-200-11.D,15.929,563,JTB-E02-200-12.D,15.937,1929,JTB-E02-200-13.D,15.929,2095,JTB-E02-200-14.D,15.913,19167,JTB-E02-200-15.D,15.913,28794,JTB-E02-200-16.D,15.913,27086,JTB-E02-200-17.D,15.904,30826,JTB-E02-201-06.D,15.921,302,JTB-E02-201-07.D,15.937,1254,JTB-E02-201-08.D,15.913,205,JTB-E02-201-11.D,15.905,366,JTB-E02-201-12.D,15.913,220,JTB-E02-201-13.D,15.905,233,JTB-E02-201-14.D,15.913,15156,JTB-E02-201-15.D,15.913,21355,JTB-E02-201-16.D,15.913,21888,JTB-E02-201-17.D,15.905,25966
"Pyrazine, 2-ethyl-6-methyl-",JTB-E02-199-06.D,16.018,643,JTB-E02-199-07.D,16.010,718,JTB-E02-199-08.D,,,JTB-E02-199-11.D,16.002,20441,JTB-E02-199-12.D,,,JTB-E02-199-13.D,16.010,27101,JTB-E02-199-14.D,16.002,20290,JTB-E02-199-15.D,16.002,35593,JTB-E02-199-16.D,16.010,21689,JTB-E02-199-17.D,16.002,37132,JTB-E02-200-06.D,16.010,377,JTB-E02-200-07.D,16.002,781,JTB-E02-200-08.D,16.010,949,JTB-E02-200-11.D,16.002,23410,JTB-E02-200-12.D,16.010,23441,JTB-E02-200-13.D,16.010,32102,JTB-E02-200-14.D,15.994,20226,JTB-E02-200-15.D,15.994,28565,JTB-E02-200-16.D,16.002,26751,JTB-E02-200-17.D,15.994,27471,JTB-E02-201-06.D,16.018,2055,JTB-E02-201-07.D,16.034,2307,JTB-E02-201-08.D,15.986,32,JTB-E02-201-11.D,16.002,21177,JTB-E02-201-12.D,16.010,25481,JTB-E02-201-13.D,16.002,23399,JTB-E02-201-14.D,16.002,18920,JTB-E02-201-15.D,15.994,18980,JTB-E02-201-16.D,15.994,27691,JTB-E02-201-17.D,15.994,25419
"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-",JTB-E02-199-06.D,16.400,247,JTB-E02-199-07.D,16.400,224,JTB-E02-199-08.D,,,JTB-E02-199-11.D,16.392,38960,JTB-E02-199-12.D,,,JTB-E02-199-13.D,16.408,67600,JTB-E02-199-14.D,16.400,56173,JTB-E02-199-15.D,16.392,71738,JTB-E02-199-16.D,16.392,66890,JTB-E02-199-17.D,16.392,69004,JTB-E02-200-06.D,16.424,1353,JTB-E02-200-07.D,16.392,225,JTB-E02-200-08.D,16.400,256,JTB-E02-200-11.D,16.408,56854,JTB-E02-200-12.D,16.408,67789,JTB-E02-200-13.D,16.400,44477,JTB-E02-200-14.D,16.392,50915,JTB-E02-200-15.D,16.392,61267,JTB-E02-200-16.D,16.400,29008,JTB-E02-200-17.D,16.392,61020,JTB-E02-201-06.D,16.384,513,JTB-E02-201-07.D,16.441,1067,JTB-E02-201-08.D,16.392,146,JTB-E02-201-11.D,16.400,56734,JTB-E02-201-12.D,16.408,64122,JTB-E02-201-13.D,16.408,64200,JTB-E02-201-14.D,16.400,55136,JTB-E02-201-15.D,16.392,53203,JTB-E02-201-16.D,16.392,59904,JTB-E02-201-17.D,16.400,56620
"2-Hexen-1-ol, (E)-",JTB-E02-199-06.D,,,JTB-E02-199-07.D,,,JTB-E02-199-08.D,,,JTB-E02-199-11.D,16.498,458535,JTB-E02-199-12.D,16.473,543044,JTB-E02-199-13.D,16.506,589732,JTB-E02-199-14.D,16.506,685241,JTB-E02-199-15.D,16.498,752711,JTB-E02-199-16.D,16.498,754980,JTB-E02-199-17.D,16.498,704166,JTB-E02-200-06.D,16.514,2321,JTB-E02-200-07.D,,,JTB-E02-200-08.D,16.514,3540,JTB-E02-200-11.D,16.506,551750,JTB-E02-200-12.D,16.506,663974,JTB-E02-200-13.D,16.506,610997,JTB-E02-200-14.D,16.498,583747,JTB-E02-200-15.D,16.497,725316,JTB-E02-200-16.D,16.498,630389,JTB-E02-200-17.D,16.497,628396,JTB-E02-201-06.D,16.498,3067,JTB-E02-201-07.D,16.530,3169,JTB-E02-201-08.D,16.481,209,JTB-E02-201-11.D,16.506,553234,JTB-E02-201-12.D,16.506,557865,JTB-E02-201-13.D,16.506,551559,JTB-E02-201-14.D,16.497,571580,JTB-E02-201-15.D,16.498,579953,JTB-E02-201-16.D,16.497,718142,JTB-E02-201-17.D,16.498,556016
"Benzene, 1,5-dimethyl-2,4-bis(1-methylethyl)-",JTB-E02-199-06.D,17.139,693,JTB-E02-199-07.D,17.107,311,JTB-E02-199-08.D,,,JTB-E02-199-11.D,17.123,3897,JTB-E02-199-12.D,17.123,5605,JTB-E02-199-13.D,17.148,6327,JTB-E02-199-14.D,17.147,174951,JTB-E02-199-15.D,17.131,247313,JTB-E02-199-16.D,17.139,262630,JTB-E02-199-17.D,17.123,254317,JTB-E02-200-06.D,17.131,229,JTB-E02-200-07.D,,,JTB-E02-200-08.D,,,JTB-E02-200-11.D,17.139,1412,JTB-E02-200-12.D,17.139,939,JTB-E02-200-13.D,17.148,495,JTB-E02-200-14.D,17.123,15099,JTB-E02-200-15.D,17.123,54525,JTB-E02-200-16.D,17.123,68897,JTB-E02-200-17.D,17.131,78487,JTB-E02-201-06.D,,,JTB-E02-201-07.D,,,JTB-E02-201-08.D,,,JTB-E02-201-11.D,17.131,1135,JTB-E02-201-12.D,17.139,365,JTB-E02-201-13.D,17.131,545,JTB-E02-201-14.D,17.115,6185,JTB-E02-201-15.D,17.123,14755,JTB-E02-201-16.D,17.139,35894,JTB-E02-201-17.D,17.123,37726
Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,JTB-E02-199-06.D,17.627,337,JTB-E02-199-07.D,17.627,192,JTB-E02-199-08.D,17.594,516,JTB-E02-199-11.D,17.627,124298,JTB-E02-199-12.D,17.602,126316,JTB-E02-199-13.D,17.635,146684,JTB-E02-199-14.D,17.627,184796,JTB-E02-199-15.D,17.619,138923,JTB-E02-199-16.D,17.627,229219,JTB-E02-199-17.D,17.627,221748,JTB-E02-200-06.D,17.578,204,JTB-E02-200-07.D,17.635,1106,JTB-E02-200-08.D,17.619,576,JTB-E02-200-11.D,17.635,142104,JTB-E02-200-12.D,17.627,158576,JTB-E02-200-13.D,17.627,147459,JTB-E02-200-14.D,17.627,271277,JTB-E02-200-15.D,17.618,194403,JTB-E02-200-16.D,17.627,258004,JTB-E02-200-17.D,17.627,251137,JTB-E02-201-06.D,17.586,240,JTB-E02-201-07.D,17.594,227,JTB-E02-201-08.D,17.627,986,JTB-E02-201-11.D,17.627,136263,JTB-E02-201-12.D,17.635,140819,JTB-E02-201-13.D,17.627,135380,JTB-E02-201-14.D,17.627,372093,JTB-E02-201-15.D,17.619,419065,JTB-E02-201-16.D,17.627,419591,JTB-E02-201-17.D,17.618,307009
"Pyrazine, 2-ethyl-3,5-dimethyl-",JTB-E02-199-06.D,,,JTB-E02-199-07.D,,,JTB-E02-199-08.D,,,JTB-E02-199-11.D,17.684,158942,JTB-E02-199-12.D,17.667,157268,JTB-E02-199-13.D,,,JTB-E02-199-14.D,17.692,169628,JTB-E02-199-15.D,17.684,228549,JTB-E02-199-16.D,17.684,229331,JTB-E02-199-17.D,17.684,220275,JTB-E02-200-06.D,17.675,55,JTB-E02-200-07.D,,,JTB-E02-200-08.D,,,JTB-E02-200-11.D,,,JTB-E02-200-12.D,17.692,161291,JTB-E02-200-13.D,,,JTB-E02-200-14.D,17.684,166632,JTB-E02-200-15.D,17.683,193243,JTB-E02-200-16.D,17.684,179995,JTB-E02-200-17.D,17.683,190632,JTB-E02-201-06.D,,,JTB-E02-201-07.D,,,JTB-E02-201-08.D,17.675,232,JTB-E02-201-11.D,,,JTB-E02-201-12.D,,,JTB-E02-201-13.D,,,JTB-E02-201-14.D,17.683,150108,JTB-E02-201-15.D,17.692,166709,JTB-E02-201-16.D,17.683,193137,JTB-E02-201-17.D,17.683,188644
1-Octen-3-ol,JTB-E02-199-06.D,17.870,1976,JTB-E02-199-07.D,,,JTB-E02-199-08.D,17.871,121,JTB-E02-199-11.D,17.879,23113,JTB-E02-199-12.D,17.862,11446,JTB-E02-199-13.D,17.895,32908,JTB-E02-199-14.D,17.895,34770,JTB-E02-199-15.D,17.879,43079,JTB-E02-199-16.D,17.887,49739,JTB-E02-199-17.D,17.879,42964,JTB-E02-200-06.D,,,JTB-E02-200-07.D,17.878,265,JTB-E02-200-08.D,17.870,1237,JTB-E02-200-11.D,17.887,15870,JTB-E02-200-12.D,17.887,16632,JTB-E02-200-13.D,17.887,19640,JTB-E02-200-14.D,17.879,22589,JTB-E02-200-15.D,17.887,31296,JTB-E02-200-16.D,17.887,26201,JTB-E02-200-17.D,17.878,29850,JTB-E02-201-06.D,17.879,984,JTB-E02-201-07.D,17.878,152,JTB-E02-201-08.D,17.870,123,JTB-E02-201-11.D,17.887,14358,JTB-E02-201-12.D,17.887,17517,JTB-E02-201-13.D,17.887,13513,JTB-E02-201-14.D,17.887,17350,JTB-E02-201-15.D,17.887,19082,JTB-E02-201-16.D,17.887,25342,JTB-E02-201-17.D,17.878,19071
