Peak_ID,Library\ID,FF10BB02B01,FF10BB02B02,FF10BB02B03,FF10BB02P01,FF10BB02P02,FF10BB02P03,FF10BB02R01,FF10BB02R02,FF10BB02R03,FF10BB02R04,FF10BB24B01,FF10BB24B02,FF10BB24B03,FF10BB24P01,FF10BB24P02,FF10BB24P03,FF10BB24R01,FF10BB24R02,FF10BB24R03,FF10BB24R04,FF10BB48B01,FF10BB48B02,FF10BB48B03,FF10BB48P01,FF10BB48P02,FF10BB48P03,FF10BB48R01,FF10BB48R02,FF10BB48R03,FF10BB48R04,PA10BB02B01,PA10BB02B02,PA10BB02B03,PA10BB02P01,PA10BB02P02,PA10BB02P03,PA10BB02R01,PA10BB02R02,PA10BB02R03,PA10BB02R04,PA10BB24B01,PA10BB24B02,PA10BB24B03,PA10BB24P01,PA10BB24P02,PA10BB24P03,PA10BB24R01,PA10BB24R02,PA10BB24R03,PA10BB24R04,PA10BB48B01,PA10BB48P01,PA10BB48P02,PA10BB48P03,PA10BB48R01,PA10BB48R02,PA10BB48R03,PA10BB48R04
peak_043,"Pyrazine, 2-ethyl-6-methyl-",643,718,0,20441,0,27101,20290,35593,21689,37132,377,781,949,23410,23441,32102,20226,28565,26751,27471,2055,2307,32,21177,25481,23399,18920,18980,27691,25419,453,502,265,31579,17408,36871,24946,29453,34650,26874,703,537,1265,22326,24438,28791,23399,19578,21117,23960,147,26922,22601,14800,22466,23018,24766,25306
peak_044,"Pyrazine, 2,5-dimethyl-3-(3-methylbutyl)-",247,224,0,38960,0,67600,56173,71738,66890,69004,1353,225,256,56854,67789,44477,50915,61267,29008,61020,513,1067,146,56734,64122,64200,55136,53203,59904,56620,174,129,0,47739,65790,60111,58012,58101,64858,63733,301,3042,0,55626,54953,43595,63999,69503,57878,49624,124,53407,47186,51167,55205,46438,54237,54391
peak_045,"2-Hexen-1-ol, (E)-",0,0,0,458535,543044,589732,685241,752711,754980,704166,2321,0,3540,551750,663974,610997,583747,725316,630389,628396,3067,3169,209,553234,557865,551559,571580,579953,718142,556016,734,0,4410,478216,560318,593731,517529,495115,568651,514152,1612,1851,4903,528855,595325,494123,470498,445713,538036,325881,342,496715,450589,500528,397051,337056,446245,285487
peak_046,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate,337,192,516,124298,126316,146684,184796,138923,229219,221748,204,1106,576,142104,158576,147459,271277,194403,258004,251137,240,227,986,136263,140819,135380,372093,419065,419591,307009,0,92,147,86000,185507,172779,191822,178850,200829,182902,1063,820,663,131624,173197,148177,169632,170226,100080,151580,535,136968,138964,147833,146033,145054,166198,139373
peak_047,"Pyrazine, 2-ethyl-3,5-dimethyl-",0,0,0,158942,157268,0,169628,228549,229331,220275,55,0,0,0,161291,0,166632,193243,179995,190632,0,0,232,0,0,0,150108,166709,193137,188644,0,0,0,190900,219786,233085,230073,236546,229276,225640,0,1104,0,158079,201424,179567,200934,215351,197363,181822,0,173390,163719,173499,184414,163032,180386,168312
peak_048,1-Octen-3-ol,1976,0,121,23113,11446,32908,34770,43079,49739,42964,0,265,1237,15870,16632,19640,22589,31296,26201,29850,984,152,123,14358,17517,13513,17350,19082,25342,19071,1049,283,745,19177,39098,42142,33426,35417,40465,32578,141,1190,826,17215,21874,12845,16995,22113,23127,20115,0,14512,17683,18001,9017,13680,17274,14387
peak_049,Furfural,12534,16421,557,1411725,1280151,1647070,1469787,1685341,1744778,1624465,0,57114,42958,1876654,2311001,2092587,651210,307909,1028592,1174442,42257,46144,3061,2387678,2157354,2141248,484464,237362,833174,890536,2337,3144,8064,1278321,1763376,1763637,71061,66146,77106,40444,4608,19988,2517,1925823,2245889,1836135,191509,52270,125053,126721,5471,1874940,2035392,2174230,346864,239220,176329,203063
peak_050,Ethyl 2-(5-methyl-5-vinyltetrahydrofuran-2-yl)propan-2-yl carbonate1,0,341,555,30942,10253,46776,54295,64951,60479,52973,716,370,391,37669,39656,42555,79608,88541,63420,73951,1210,665,293,33918,45915,41554,94506,108982,115564,84065,487,398,458,37104,37645,46945,31278,42713,53245,45328,128,309,697,38341,46590,41248,38201,37578,44117,35084,275,29962,40162,34057,44532,28739,39641,31524
peak_051,2-Ethyl-1-hexanol,7898,8778,732,28962,37073,46887,39323,51854,52536,45402,4268,2665,4471,30984,39686,34349,35887,46469,41519,41319,3542,328,0,45074,26469,26744,39339,41110,45102,37306,1078,25756,28976,41765,36306,35714,46274,35678,40494,43351,10307,16521,7589,47427,28485,32279,42245,31970,28189,39760,13345,27714,24311,30530,36921,26372,214976,69337
peak_052,"Ethanone, 1-(2-furanyl)-",787,868,328,50060,66350,48266,77026,100303,98908,90113,360,1573,0,76992,61197,97161,83876,99528,84678,84365,5473,3273,672,88744,85455,78246,86551,78221,88664,82288,0,0,1006,60714,76146,71875,66931,69924,84576,68775,869,1474,1941,79875,94140,71233,77712,76963,79974,75547,2452,73255,70644,76987,80524,69928,82397,78928
peak_053,2-Mercapto-4-phenylthiazole,2074848,749565,1363,362428,475142,684489,221732,212243,501944,440444,217852,185606,291425,284589,315862,392404,255461,288389,322063,277646,210552,172207,38486,570484,271670,243061,207103,268208,255356,216955,208589,526052,1487489,1037214,545514,312070,589790,414551,270708,425777,270201,201888,113000,300688,204882,415046,284889,283049,154167,395721,329704,158626,286785,240906,199305,274804,224448,162581
peak_054,Benzaldehyde,246246,234392,2258,18752198,20165301,24229413,19640527,17232287,17737976,17250611,1054197,0,0,23386625,24107861,24222892,6676090,3463072,9415697,10955988,0,0,0,22377730,21032568,21960307,4123724,2025821,6034004,6516111,9356,43671,923083,16889780,16412392,15415253,1102406,1244495,1693829,586880,260160,0,0,20090524,17706120,15540272,2073107,816301,942537,1218811,513718,15978579,13906019,15307358,1893702,1359015,1933047,1110758
peak_055,p-Trimethylsilyloxyphenyl-(trimethylsilyloxy)trimethylsilylacrylate,994636,790175,4406,292482,262779,438565,210664,204085,310090,389270,293066,348839,283757,330390,309936,369881,256133,241174,315865,283516,324674,325400,53056,699380,322949,307458,263672,279149,340597,257638,83440,262817,1431472,548618,327487,232692,388423,287970,203925,312775,249610,202592,158491,366207,314831,390643,310983,296359,202243,310041,294262,266539,380427,319455,276025,333022,296391,185157
peak_056,Linalool,0,407,229,106317,150315,134828,164407,173253,162510,127907,1965,2266,1034,70816,71253,58401,53564,86263,66314,75719,146,334,296,39086,47569,37572,44114,54400,58461,55832,0,440,1475,130661,152223,150274,129268,148165,169814,123848,798,660,710,53382,63545,60002,66084,66841,80715,49196,1573,36468,38297,41362,39058,32940,46115,40122
peak_057,1-Octanol,747,1668,531,31002,30594,39715,59485,80718,67823,60911,2676,1869,1101,16461,17671,20170,30298,48435,33508,34926,726,3942,1957,12968,11737,9206,23941,31566,34648,26022,251,426,1145,30787,40466,41914,42515,40388,47246,30706,944,1658,216,12028,9284,12861,14162,15788,17474,13649,0,6781,8592,7656,11341,8174,11360,8571
peak_058,"Phosphonoacetic Acid, 3TMS derivative",112566,88468,1668,23061,25605,25526,14514,18339,23202,31011,23507,29255,28280,19354,19588,24197,15094,19738,20494,19292,35371,27647,5689,34336,23386,24592,14653,17226,19211,18322,10371,31809,135523,64464,29607,16801,29336,23930,14641,25263,28018,23486,16559,16869,11977,23714,19500,14484,10366,14975,39337,9080,21863,20363,13412,18879,16240,10076
peak_059,Benzonitrile,5738,7033,374,109665,114756,160842,162237,158979,161511,143189,11865,0,13186,117152,146954,132257,85202,107594,104745,120662,12387,17983,0,109717,94361,101483,82519,72438,83374,77925,280,675,12876,113903,147739,149159,202455,212232,254271,181866,21238,0,24532,107814,109483,83124,174550,181992,192252,128390,16018,68579,61209,71552,126457,113407,157483,110486
peak_060,Terpinen-4-ol,0,0,0,22211,26000,29249,31784,29964,34837,30909,305,343,445,21025,21255,7832,13833,21755,16090,20613,596,368,893,12636,11162,11399,15148,14116,16703,16447,122,90,761,22962,32841,27876,29495,26485,27702,27298,118,538,313,18139,17737,13835,18752,20593,19828,14971,787,12314,10227,12854,14394,11381,15191,12383
peak_061,"Butanoic acid, 4-hydroxy-",10342,42110,4952,69768,44044,67313,48876,51518,69628,30194,26621,17443,38994,50630,34623,66787,46172,62677,59501,52134,24003,1263,19124,77797,59257,46888,59125,56213,36907,33380,1588,91668,60459,128953,92413,58677,104055,89521,61657,90626,52751,79146,25779,90020,87172,91124,79738,66207,59006,78829,55686,54800,84159,36431,55915,70269,73685,50489
peak_062,Acetophenone,32617,40610,1727,487517,485061,626841,617693,653188,703645,568794,46000,71488,1580,536872,597779,574731,486916,552875,488697,516743,49339,69059,32843,514866,452886,501749,430470,400069,502118,463427,3747,13179,90324,513468,610220,612144,618146,675525,733311,557648,57970,55538,77811,505076,511876,452174,557782,680596,692959,532131,62314,401562,363086,417271,558845,491434,549156,522880
peak_063,"Silanediol, dimethyl-",13664837,10971008,238859,8565820,5804987,11689180,4137148,4518670,6305563,9124374,8528649,8468240,8447614,5610061,4425594,8553932,4934292,4657126,6315221,5056819,8964616,8220064,3948763,9391850,5865136,6512021,3942655,5027821,5037060,3861392,4230787,9993211,8756157,6421787,6633009,5698580,5948002,4960737,3718273,5520686,6710889,7868369,6387764,6378487,2974080,5607928,5940262,5905798,2822340,4943217,7221085,2757684,4384986,4371746,3873701,4225026,3742470,3111226
peak_064,3-Furanmethanol,720,330,0,10513,13611,13802,29781,58574,50726,29934,1705,1400,822,11648,16041,14832,90442,100132,89022,69804,2373,1595,1218,15733,12572,11097,127344,103936,108862,106073,280,815,1042,13675,15753,18673,121614,114437,138565,118015,1426,1367,2247,14758,15093,12166,134361,153273,151908,119573,1974,16840,14087,18114,138569,141287,176671,144912
peak_065,"3,4-Dihydroxyphenylglycol, 4TMS derivative",145867,95783,4402,48602,36940,16282,23841,31543,17949,59006,39225,33096,20843,30361,16302,52278,27660,15649,42554,24741,37798,34950,16628,27344,36940,34235,14818,31677,28066,14694,3218,16567,71567,52811,17519,20850,26439,15320,20683,23971,16398,18504,15670,16085,12571,22402,15087,17701,15076,23860,27067,13222,22211,13799,15501,19814,14132,10982
peak_066,"Benzaldehyde, 3-hydroxy-",0,0,0,183853,172372,204184,161362,178174,194653,185015,0,0,0,132233,166122,186532,65158,53354,74781,77477,0,0,0,123242,118758,130395,34991,19928,45690,51615,0,442,0,124108,143282,85267,13977,2524,16426,9667,2816,0,0,65853,75257,70420,12549,7002,6336,8592,935,69297,28523,60201,5198,3933,10946,6766
peak_067,"3-(3-Oxo-2-prop-2-ynyl-cyclopentyl)-propionic acid, methyl ester",404,549,0,224339,300794,285936,333492,370793,363577,303354,2934,940,3949,296946,334681,273487,252197,318446,279912,306774,2056,502,294,284401,286516,230842,252434,287475,337994,228812,276,0,4216,251279,325474,317399,331528,328409,346224,336920,2790,623,988,263549,318898,246006,331679,310730,318581,256435,3418,256709,261667,277471,271158,232844,337412,236700
peak_068,Terpineol,2825,2234,0,517294,724171,677692,812562,967146,859852,801364,16026,22008,21732,600332,650111,599564,603958,743852,700255,678649,12099,16961,4150,513413,478981,488455,520680,674453,691739,632216,0,213,23623,673245,857805,813208,830628,769337,867427,779527,10576,14468,21811,492782,666588,579601,641960,652708,674902,558963,15539,484268,482923,551945,495348,460270,607912,497929
peak_069,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-",487,1457,0,56104,69804,75102,400947,459746,419275,377447,290,0,174,55504,58648,60830,603165,749974,567898,557826,641,70,61,47299,51846,45362,634675,780629,776249,643780,200,1047,1441,76303,93565,85551,88821,87531,88394,85883,1217,400,0,49509,60957,63981,67882,60285,66632,61245,274,56615,52826,49810,50487,49807,36382,46939
peak_070,"1, 1, 5-Trimethyl-1, 2-dihydronaphthalene",4623,978,0,555320,648684,916474,695110,1091039,868150,715079,30571,75903,49119,33638,72276,44939,47162,76760,81113,88525,10217,8580,4294,34073,30031,26387,28089,21080,35144,24192,0,0,7388,480967,832426,919900,392777,477433,586631,335783,24532,34815,42729,38490,41559,35299,46452,62639,67836,82453,9591,18075,20227,15256,21231,19626,19814,23456
peak_071,"Oxime-, methoxy-phenyl-_",7141,21007,0,3058,1176,2310,1139,124,808,1877,4074,1405,2004,0,809,2615,609,496,718,1611,4228,2417,180,5122,553,1431,84,876,1079,212,2648,4355,34517,3174,2121,744,1502,885,1033,723,3150,831,1277,377,556,0,1159,1991,360,1951,2537,448,1501,251,1156,984,295,316
peak_072,Methyl salicylate,6106,3699,186,46368,44271,56124,65294,94852,85794,86549,6818,10497,5096,14676,28751,33058,55759,80717,60371,35497,4339,5843,4590,23000,16288,26418,49534,58703,55324,49474,431,1561,5973,49523,52323,55197,42890,45845,63194,48812,5877,2947,9199,15797,20876,20283,17721,24732,23718,21290,4607,11220,13472,12113,12598,7914,14836,10983
peak_073,(-)-Myrtenol,412,668,145,2791,1241,1879,18649,25030,22494,19653,451,845,685,1835,1021,1717,34893,42691,25389,29920,414,126,619,2631,1455,1730,38400,44212,47122,38106,248,95,701,2540,1660,442,3089,2726,3852,1702,0,388,60,1245,1677,3796,1598,2648,1991,3007,654,1359,1902,989,1777,1400,1938,941
peak_074,"Cyclotrisiloxane, hexamethyl-    1",0,2835087,250,57903,157071,188400,48335,38794,86033,225514,762483,344816,363814,55746,64012,131187,59157,55846,85163,64123,998172,371010,28472,542197,77435,77060,39981,71175,80891,48666,132414,438550,0,514923,102487,47410,85661,77952,53083,63979,440457,253177,168382,71269,43888,74486,50340,105833,34227,99258,697330,41928,74240,69791,67209,82456,35105,60242
peak_075,Benzyl alcohol,7967,10627,854,26714,39620,35005,144906,255944,210146,162496,6107,11181,8659,45522,49368,43707,392809,435011,365994,334345,11709,15654,6973,61532,43390,49354,488834,432304,486144,406361,1118,3481,20271,35212,39212,54764,428086,430655,483375,390900,12573,11075,15999,35215,42790,45608,540962,605681,526166,447609,15495,58307,51950,48124,553424,484914,561382,549223
peak_076,"Cyclotetrasiloxane, octamethyl-     1",512302,232589,854,27447,28213,1358,6961,11098,15369,70759,71520,58011,36809,19210,5071,42412,8306,10436,38444,19336,84262,69171,8449,91828,9140,32902,9981,7634,17484,4741,7895,38477,471803,39812,11619,14825,17162,30078,13191,12724,43120,58841,22719,29686,13274,38085,19587,25815,12340,10986,63009,3162,14258,7999,21955,9661,24963,20278
peak_077,Phenylethyl Alcohol,4378,3698,290,17885,19691,24567,37165,53377,47548,49128,1859,2213,2075,21338,31047,29561,146511,200856,164449,159041,6040,8388,5229,36413,35385,26544,278705,330916,332150,275533,443,988,17858,22126,24394,39046,58321,76721,68800,58486,2427,3315,6893,24249,34447,26464,93854,153596,102159,73286,5691,41457,30030,26992,104274,160615,135407,117228
peak_078,Benzyl nitrile,2974,4326,903,86279,100288,103220,91692,134777,141779,125848,4943,9288,7550,83409,104383,94051,107626,119538,94813,107674,4335,8218,2011,94399,77031,89985,99422,97310,110454,127666,95,499,11215,114501,138743,148042,135482,151679,147553,135420,7570,5870,9664,84931,121625,104210,117509,127967,122077,105181,6511,116223,93192,98329,110705,97157,111782,105599
peak_079,"2,6-Bis(1,1-dimethylethyl)-4-(1-oxopropyl)phenol",270255,39733,8915,101384,50583,66106,36490,64632,71823,79148,37542,59397,25476,75665,62727,85154,60177,54824,67769,70031,41808,44332,26903,72507,88590,88538,55233,62756,94009,51612,0,26278,112102,74746,55120,95981,57530,50752,86155,50166,18773,16814,28589,39958,34744,39242,38352,66382,57381,41601,18436,69968,41685,33614,61964,33771,50794,66510
peak_080,"p-Mentha-1(7),8(10)-dien-9-ol",139,341,493,2322,2546,2265,6931,12605,6826,12197,49,1106,0,4044,3187,2803,16296,15505,16537,16112,1006,589,1028,3363,2986,3237,19313,18643,22045,18413,0,186,444,1045,3324,3264,1739,3668,4070,2300,157,302,1372,2578,1702,3507,2610,459,2618,2055,637,1871,2745,1027,2059,2682,2777,2559
peak_081,Phenol,35448,46925,5943,42231,49356,60057,38492,51580,67845,52769,20231,17830,24893,48272,59135,54162,52238,65365,57246,47470,17819,16181,11928,62049,47605,50245,53394,51329,55181,53058,312,28386,47718,52656,59032,62920,67084,64594,91147,59194,21205,22377,20803,52662,48610,53105,68137,68792,97112,58330,23840,46945,50508,46042,68528,70988,104972,51031
peak_082,p-Cresol,6320,8667,149,97556,127433,137012,137410,177433,185060,162708,7659,11051,8478,150411,159821,165873,171824,192231,159451,173071,9769,11755,2926,180513,131459,149745,185380,201512,191789,203238,0,1036,16017,181034,206478,254734,220108,224176,246114,209704,12761,11219,14083,208222,234093,193143,240460,241728,247093,206108,13296,256278,202540,221849,248126,213834,228426,245930
peak_083,3-Allyl-6-methoxyphenol,385,0,207,7204,7490,7015,17632,25317,22484,19656,974,391,0,5779,9572,5385,46482,62028,39604,37878,864,1144,318,9276,5480,6141,73364,91660,69160,55862,0,0,224,4082,9990,11055,11246,8202,10416,9251,0,764,781,10080,10898,5813,9406,10422,10854,657,92,8290,8012,7519,6154,4148,10930,9097
peak_084,"Sulfurous acid, cyclohexylmethyl nonyl ester",1101,2738,681,274930,343533,357552,364603,464912,411363,399164,764,161,0,206104,234554,200979,190768,252916,218355,225900,477,2878,632,114733,141110,126655,108590,138163,153725,134952,0,402,6248,324348,372917,373216,378682,358633,395884,327291,1340,0,928,187986,221842,216862,209339,196813,224746,203331,1641,114765,139051,129903,130489,118692,145246,121498
peak_085,"4-(4-Chlorophenyl)-2,6-diphenylpyridine",958685,675676,28651,308450,286837,165618,166170,220917,163924,375016,345103,306309,189967,213643,148068,314186,214913,155504,285692,219261,390535,302394,133956,262264,242800,238674,155637,262254,232100,144241,50572,189852,741868,398406,172922,192688,255575,164934,168663,210099,207179,185082,168020,157058,119710,210439,165954,177842,126970,217380,284394,120540,195762,149025,152182,201566,154425,135917
peak_086,"4-Trimethylsilyl-9,9-dimethyl-9-silafluorene",452787,290832,10893,137347,138095,173657,83856,94379,136045,167102,135503,131160,137789,102004,110473,149937,100686,96619,121301,108741,154860,124488,19294,221612,112702,110906,93729,110210,107776,93275,53664,168189,470979,298686,152444,114607,182739,128839,91761,145235,124692,105182,71585,131137,92375,148489,61001,109472,60030,136334,222617,76895,125459,99399,83691,114737,87253,70261
peak_087,"3-Cyclohexene-1-ethanol, .beta.,4-dimethyl-",1759,1264,926,3749,4567,5756,4526,9255,12547,6046,590,1054,0,6496,6159,6768,11682,15773,13059,11167,2388,1316,898,7544,4184,5322,13526,18263,16267,12231,649,193,0,438,484,389,5432,6542,6668,798,1045,1410,1667,4994,7006,5582,6919,7448,7419,5895,2235,7425,6027,5861,7269,4807,6072,7563
peak_088,"3-Cyclohexene-1-ethanol, .beta.,4-dimethyl-      1",46375,57138,8408,3409,4336,5768,4777,5431,7449,6900,23578,21503,29628,6493,6248,6639,6665,5989,5080,7373,21736,20034,14830,7027,5842,5602,6315,7377,8622,7452,6746,35831,60839,4511,5328,6613,6063,6573,8072,5321,26084,27535,25111,4896,6923,5064,6807,7287,7313,5360,36461,8050,5375,6012,7106,4467,6464,7243
