BACandBLUE,,,,,,,,,,,,
24HOUR CONTROL,,,24HOUR BLANK,2HOUR BLANK,2HOUR CONTROL,,,70HOUR BLANK,,,70HOUR CONTROL,
JTB-E02-185-10,,,JTB-E02-185-06,JTB-E02-184-15,JTB-E02-184-16,,,JTB-E02-186-08,,,JTB-E02-186-11,
R.T.,Library/ID,Area,Area,Area,R.T.,Area,,R.T.,Area,,R.T.,Area
,,,,11952546,,,,,,,,
2.806,"2-Butanamine (CAS) $$ sec-Butylamine $$ 2-AB $$ Tutane $$ Butafume $$ 2-Butylamine $$ 2-Aminobutane $$ 1-Methylpropylamine $$ 1-Methylpropanamine $$ Secondary butylamine $$ Propylamine, 1-methyl- $$ Sec-C4H9NH2 $$ sec-Butanamine $$ Deccotane $$ Frucote $$",36409866,41248871,39902848,2.803,22912061,,2.803,40173550,,2.782,40424310
2.975,"Acetic acid, [(aminocarbonyl)amino]oxo- (CAS) $$ Oxaluric acid",8080938,,,,,,2.973,16082146,,2.955,10263148
3.204,"2-Propanamine (CAS) $$ Isopropylamine $$ 2-Propylamine $$ 2-Aminopropane $$ sec-Propylamine $$ 1-Methylethylamine $$ Monoisopropylamine $$ ISO-PROPYL AMINE $$ N-iso-propylamine $$ Iso-C3H7NH2 $$ MIPA $$ Propylamine mono $$ Isopropilamina $$ Propane, 2-ami",13546259,,,3.206,9443456,,3.138,2174888,,3.18,20208250
3.407,"Methane, thiobis- (CAS) $$ 2-Thiapropane $$ DMS $$ Methylthiomethane $$ Methyl sulfide $$ Dimethyl sulfide $$ Methyl monosulfide $$ Dimethyl thioether $$ Dimethyl monosulfide $$ 2-THIAPROPANE(DIMETHYL SULFIDE) $$ DIMETHYLSULFIDE $$ (METHYLTHIO)METHANE $$",73944242,,,3.407,173827887,,4.004,372402137,,3.385,27297966
3.692,"Butanal, 3-methyl- (CAS) $$ 3-Methylbutanal $$ Isovaleraldehyde $$ Isovaleral $$ Isopentanal $$ 3-Methylbutan-1-al $$ Isovalerylaldehyde $$ Isovaleric aldehyde $$ .beta.-Methylbutanal $$ 3-Methylbutyraldehyde $$ Isoamylaldehyde $$ iso-Valeraldehyde $$ 3-M",,,3952760,,,,,,,,
3.782,2-Propanone (CAS) $$ Acetone $$ propan-2-one $$ Propanone $$ Methyl ketone $$ Dimethyl ketone $$ Pyroacetic ether $$ .beta.-Ketopropane $$ Dimethylformaldehyde $$ ACETONE (2-PROPANONE) $$ (CH3)2CO $$ Allylic alcohol $$ Dimethylketal $$ Ketone propane $$ K,156066494,,,3.783,101170599,,4.446,22391948,,3.762,217484266
3.88,"Acetic acid, methyl ester (CAS) $$ Methyl acetate $$ Devoton $$ Tereton $$ Acetic acid methyl ester $$ Methyl ester of acetic acid $$ methyl  acetate $$ CH3COOCH3 $$ Methyl ethanoate $$ Acetate de methyle $$ Methyl acetic ester $$ Methylacetaat $$ Methyla",225277765,,,3.88,239992747,,4.585,26905227,,3.859,152859192
,"Cyclotrisiloxane, hexamethyl- (CAS) $$ 1,1,3,3,5,5-HEXAMETHYL-CYCLOHEXASILOXANE $$ Hexamethylcyclotrisiloxane $$ HEXAMETHYL-CYCLOTRISILOXANE $$ Dimethylsiloxane cyclic trimer",,35212957,,,,,,,,,
4,"N-ethyl-1,3-dithioisoindoline $$ 1H-Isoindole-1,3(2H)-dithione, 2-ethyl-",369027694,,,4.002,358292786,,4.963,8787805,,3.982,255190294
4.28,"N-ethyl-1,3-dithioisoindoline $$ 1H-Isoindole-1,3(2H)-dithione, 2-ethyl-",24291433,,,4.283,19688252,,5.052,4405664,,4.416,809559214
4.435,"Acetic acid, ethyl ester (CAS) $$ Acetic acid ethyl ester (CAS) $$ Ethyl acetate $$ Acetidin $$ Acetic ether $$ Acetoxyethane $$ Ethyl ethanoate $$ Ethyl acetic ester $$ Vinegar naphtha her $$ Vinegar naphtha $$ Ethyl ester of acetic acid $$ CH3COOC2H5 $$",1802561720,,,4.436,2044133224,,5.816,149348190,,4.573,153846985
4.586,"Acetic acid, ethyl ester (CAS) $$ Acetic acid ethyl ester (CAS) $$ Ethyl acetate $$ Acetidin $$ Acetic ether $$ Acetoxyethane $$ Ethyl ethanoate $$ Ethyl acetic ester $$ Vinegar naphtha her $$ Vinegar naphtha $$ Ethyl ester of acetic acid $$ CH3COOC2H5 $$",331091644,,,4.588,362972504,,6.187,24174976,,4.707,50995872
4.724,"Acetic acid, ethyl ester (CAS) $$ Acetic acid ethyl ester (CAS) $$ Ethyl acetate $$ Acetidin $$ Acetic ether $$ Acetoxyethane $$ Ethyl ethanoate $$ Ethyl acetic ester $$ Vinegar naphtha her $$ Vinegar naphtha $$ Ethyl ester of acetic acid $$ CH3COOC2H5 $$",206797547,,,4.726,232397409,,9.815,44845414,,4.742,48024963
4.783,LIMONENE,,,10112804,,,,,,,,
4.814,"1-HEXYL-4,4-D2 ACETATE $$ 1-Hexan-4,4-d2-ol, acetate",188127231,,,4.813,151137004,,11.537,4142378,,4.798,117711011
4.962,Ethyl Acetate,,,,,57308842,,,,,,
5.069,Formic acid (CAS) $$ Bilorin $$ Myrmicyl $$ Formisoton $$ Aminic acid $$ Collo-Didax $$ Formylic acid $$ Methanoic acid $$ Collo-Bueglatt $$ Hydrogen carboxylic acid $$ Formira $$ Add-F $$ HCOOH $$ Acide formique $$ Acido formico $$ Ameisensaeure $$ Formi,1752223513,,,5.071,1520224214,,15.288,10635088,,5.054,1711115315
5.209,"Methoxyacetic acid, pentyl ester",,,,,143926358,,,,,,
5.299,ISOAMYLALCOHOL,,,582379632,,,,,,,,
5.412,"1-Pyrroline, 2-phenyl-",,,,,29323865,,,,,,
5.468,ISOAMYLALCOHOL,,,258959130,,,,,,,,
5.527,"Furan, 2-butyltetrahydro- (CAS) $$ Octane, 1,4-epoxy- $$ 2-Butyltetrahydrofuran $$ 2-N-BUTYLTETRAHYDROFURAN",103204066,,,5.529,110983864,,16.178,16978701,,5.511,45924652
5.691,"3-Buten-2-ol, 3-methyl- (CAS) $$ 3-METHYL-3-BUTEN-2-OL $$ Methyl isopropenyl carbinol $$ CH2=C(CH3)CH(OH)CH3",21431586,,,5.694,19147840,,17.43,12629785,,5.678,16272576
5.749,"Ethanol, 2-propoxy- (CAS) $$ 2-Propoxyethanol $$ Ethylene glycol monopropyl ether $$ Propyl glycol $$ Propoxyethanol $$ Propyl cellosolve $$ 2-(Propyloxy)ethanol $$ Ethylene glycol propyl ether $$ Ethyleneglycol mono-n-propyl ether $$ Ektasolve EP $$ 2-Pr",17379610,,,,,,19.539,15190883,,5.734,10226960
5.753,"2H-Pyran-2-methanol, 3,6-dihydro-3-hydroxy-6-(1-methylethoxy)-",,,,,18655373,,,,,,
5.811,"Cyclotetrasiloxane, octamethyl- (CAS) $$ 1,1,3,3,5,5,7,7-OCTAMETHYL-CYCLOOCTASILOXANE $$ OCTAMETHYL-(CYCLIC TETRAMER) CYCLOTETRASILOXANE $$ Octamethylcyclotetrasiloxane $$ NUC Silicone VS 7207 $$ Octamethyl-cyclotetrasiloxane $$ Oktamethylcyklotetrasiloxa",121168962,17646172,,,70796936,,20.61,3113653,,5.8,145399518
5.959,"Carbonic acid, dimethyl ester (CAS) $$ Methyl carbonate $$ Dimethyl ester of carbonic acid $$ Dimethyl carbonate $$ Methyl carbonate ((MeO)2CO) $$ Carbonic acid dimethyl ester $$ CH3OCOOCH3 $$ UN 1161",88359644,,,5.961,82361426,,20.731,12939246,,5.943,58878804
6.109,"3-Penten-2-one, 4-methyl- (CAS) $$ Mesityl oxide $$ 2-METHYLPENT-2-EN-4-ONE $$ Isopropylideneacetone $$ Methyl isobutenyl ketone $$ Acetone, isopropylidene- $$ Isobutenyl methyl ketone $$ 4-Methyl-3-penten-2-one $$ Methyl 2-methyl-1-propenyl ketone $$ Met",36359006,,,,,,20.965,32891221,,6.093,17283476
6.112,"1H-Imidazole, 4,5-dihydro-2,4-dimethyl-",,,,,38613415,,,,,,
6.156,"Divinyldimethylsilane $$ Silane, diethenyldimethyl-",53307651,,,,,,21.52,23526262,,6.163,24738076
6.158,"Sulfurous acid, cyclohexylmethyl heptadecyl ester",,,,,52569295,,,,,,
6.296,Methyl 2-(2-methoxyethoxy)acetate,,,,,11684360,,,,,,
6.36,"Butanoic acid, 2-methyl-, methyl ester",,,,,11326940,,,,,,
6.409,"Acetic acid, 2-methylpropyl ester (CAS) $$ Isobutyl acetate $$ 2-Methylpropyl acetate $$ Acetic acid isobutyl ester $$ Acetic acid, isobutyl ester $$ .beta.-Methylpropyl ethanoate $$ 2-Methyl-1-propyl acetate $$ Isobutyl acetate fcc $$ Acetate d'isobutyle",15617047,,,,,,21.689,6533928,,6.532,5482617
6.415,Isobutyl acetate,,,,,18284452,,,,,,
6.541,"Butanoic acid, 3-methyl-, methyl ester (CAS) $$ Methyl isovalerate $$ Methyl isopentanoate $$ Methyl iso-valerate $$ Methyl 3-methylbutyrate $$ Methyl 3-methylbutanoate $$ Isovaleric acid, methyl ester $$ ISOVALERIC ACID-METHYL ESTER $$ 3-Methylbutanoic a",45718203,,,,,,22.839,9636964,,6.647,10636863
6.546,Methyl isovalerate,,,,,70733020,,,,,,
6.658,"2-Undecenoic acid, 2-methyl-3-octyl-, methyl ester (CAS) $$ METHYL 3,3-DIOCTYLMETHACRYLATE",19824927,,,,,,23.047,7047178,,6.969,54483369
6.66,"Carbonic acid, ethyl-, methyl ester",,,,,16081801,,,,,,
6.979,2-METHYL-3-BUTEN-2-OL,58607156,,,,49078488,,25.142,131388611,,7.149,27479420
7.046,HERBOXIDE SECOND ISOMER,,,93072712,,,,,,,,
7.16,"Ethanol, 2-(2-methoxyethoxy)- (CAS) $$ Dowanol DM $$ 2-(2-Methoxyethoxy)ethanol $$ Diethylene glycol methyl ether $$ Methyl digol $$ Poly-Solv DM $$ Methyl Dioxitol $$ Methyl Carbitol $$ Diglycol monomethyl ether $$ Diethylene glycol monomethyl ether $$ E",58165810,,,,,,25.304,3689151,,7.272,5505647
7.165,"2-Propanol, 1-(1-methylethoxy)-",,,,,65328913,,,,,,
7.187,HERBOXIDE SECOND ISOMER,,,30495410,,,,,,,,
7.282,"Ethanol, 2-(2-methoxyethoxy)- (CAS) $$ Dowanol DM $$ 2-(2-Methoxyethoxy)ethanol $$ Diethylene glycol methyl ether $$ Methyl digol $$ Poly-Solv DM $$ Methyl Dioxitol $$ Methyl Carbitol $$ Diglycol monomethyl ether $$ Diethylene glycol monomethyl ether $$ E",16251795,,,,,,26.628,13954726,,7.353,9712491
7.288,"Butanoic acid, 2-methyl-, ethyl ester",,,,,30888690,,,,,,
7.341,"Ethane, 1,1'-oxybis[2-ethoxy- (CAS) $$ Bis(2-ethoxyethyl) ether $$ Diethyl Carbitol $$ 3,6,9-Trioxaundecane $$ Diethyldiethylene glycol $$ Ether, bis(2-ethoxyethyl) $$ Diethylene glycol diethyl ether $$ 2-(2-Ethoxyethoxy)-1-ethoxyethane $$ Ethanol, 2,2'-o",10749316,,,,,,28.327,302780815,,7.599,25366564
7.37,Urethane $$ Ethyl carbamate,,13177076,,,,,,,,,
7.432,12-Crown-4,,,,,8908654,,,,,,
7.624,ETHYLISOVALERATE,75056440,,,,,,28.68,1631523,,8.264,376367079
7.63,"Butanoic acid, 3-methyl-, ethyl ester",,,,,91585750,,,,,,
7.953,Hexanal (CAS) $$ n-Hexanal $$ Hexaldehyde $$ Caproaldehyde $$ Capronaldehyde $$ n-Caproaldehyde $$ Caproic aldehyde $$ Hexylaldehyde $$ n-Capronaldehyde $$ cyclohexanol $$ 1-hexanal $$ n-C5H11CHO $$ n-Hexaldehyde $$ n-Caproylaldehyde $$ Aldehyde C-6 $$ Ka,7689971,,,,,,29.67,77783547,,8.444,11429036
8.187,"Phosphonic acid, ethyl-, diethyl ester (CAS) $$ Diethyl ethylphosphonate $$ Diethyl ethanephosphonate $$ Diethoxyethylphosphine oxide",9522413,,,,,,31.311,35726668,,8.708,41733062
8.193,"2-Furanmethanol, 5-ethenyltetrahydro-.alpha.,5-dimethyl-",,,,,11120485,,,,,,
8.267,ISOBUTYL ALCOHOL,394215894,,,,,,33.231,13641665,,9.107,4823878
8.273,"1-Propanol, 2-methyl-",,,,,342224083,,,,,,
8.315,"Benzene, 1-methyl-3-(1-methylethyl)- (CAS) $$ m-Cymene $$ 1-Methyl-3-isopropylbenzene $$ m-Cymol $$ .beta.-Cymene $$ m-Isopropyltoluene $$ m-Methylisopropylbenzene $$ 1-Isopropyl-3-methylbenzene $$ M CYMENE $$ 1-Methyl-3-(1-methylethyl)-benzene $$ UN 2046",,,35855829,,,,,,,,
8.439,"Benzene, 1-methyl-4-(1-methylethyl)- (CAS) $$ p-Cymene $$ 1-Methyl-4-isopropylbenzene $$ p-Cymol $$ p-Cimene $$ Camphogen $$ Dolcymene $$ 2-p-Tolylpropane $$ p-Isopropyltoluene $$ p-Methylisopropylbenzene $$ 1-Isopropyl-4-methylbenzene $$ 4-Isopropyl-1-me",,,12324023,,,,,,,,
8.459,"1-acetyl-4-mehtylbicyclo[3.1.0]hexan-3-one $$ Bicyclo[3.1.0]hexan-3-one, 1-acetyl-4-methyl-, [1R-(1.alpha.,4.alpha.,5.alpha.)]-",17801104,,,,,,35.801,4576919,,9.315,7124137
8.721,"Phenol, 2-nitro- (CAS) $$ o-Nitrophenol $$ 2-Nitrophenol $$ Phenol, o-nitro- $$ o-Hydroxynitrobenzene $$ 2-Hydroxynitrobenzene $$ o-Nitrofenol $$ UN 1663",272818396,,12939902,,,,,,,9.671,7338249
8.727,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl-",,,,,316384488,,,,,,
8.871,"2H-Pyran, 2-ethenyltetrahydro-2,6,6-trimethyl- (CAS) $$ 2,2-DIMETHYL-6-METHYL-6VINYLTETRAHYDROPYRAN $$ LINALOYL OXIDE $$ 2,6,6-Trimethyl-2-vinyltetrahydropyran $$ 2,2,6-Trimethyl-6-vinyltetrahydropyran $$ 2H-Pyran, tetrahydro-2,2,6-trimethyl-6-vinyl- $$ P",34867220,,,,,,,,,9.8,58102039
8.878,"4-Chlorobenzoic acid, dodec-9-ynyl ester",,,,,37470144,,,,,,
8.936,"Phenol, 2-nitro- (CAS) $$ o-Nitrophenol $$ 2-Nitrophenol $$ Phenol, o-nitro- $$ o-Hydroxynitrobenzene $$ 2-Hydroxynitrobenzene $$ o-Nitrofenol $$ UN 1663",16222563,,,,,,,,,10.09,9674063
8.944,2-Methylcyclopropane-1-carboxylic acid methyl ester,,,,,17507337,,,,,,
9.032,ISOAMYL ACETATE,20104758,,,,,,,,,11.561,2121147642
9.038,"1-Butanol, 3-methyl-, acetate",,,,,23167908,,,,,,
9.108,"Acetic acid, ethyl ester (CAS) $$ Acetic acid ethyl ester (CAS) $$ Ethyl acetate $$ Acetidin $$ Acetic ether $$ Acetoxyethane $$ Ethyl ethanoate $$ Ethyl acetic ester $$ Vinegar naphtha her $$ Vinegar naphtha $$ Ethyl ester of acetic acid $$ CH3COOC2H5 $$",14817032,,,,,,,,,11.824,467660
9.323,"3-Penten-2-one, 4-methyl- (CAS) $$ Mesityl oxide $$ 2-METHYLPENT-2-EN-4-ONE $$ Isopropylideneacetone $$ Methyl isobutenyl ketone $$ Acetone, isopropylidene- $$ Isobutenyl methyl ketone $$ 4-Methyl-3-penten-2-one $$ Methyl 2-methyl-1-propenyl ketone $$ Met",15843408,,,,,,,,,12.644,26549486
9.329,3-Hexen-2-one,,,,,16705094,,,,,,
9.68,BUTYL FORMATE,,,,,6157884,,,,,,
9.674,1-Butanol (CAS) $$ n-Butanol $$ CCS 203 $$ n-Butyl alcohol $$ Hemostyp $$ n-Butan-1-ol $$ Butyl alcohol $$ Butanol $$ Butyl hydroxide $$ Methylolpropane $$ Propyl carbinol l $$ Propyl carbinol $$ 1-Butyl alcohol $$ Butanol (French $$ Propylcarbinol $$ 1-B,7972676,,,,,,,,,12.804,16515014
9.804,"Cyclopentasiloxane, decamethyl- (CAS) $$ Dimethylsiloxane pentamer $$ DECAMETHYL-CYCLOPENTASILOXANE $$ Decamethylcyclopentasiloxane $$ Dekamethylcyklopentasiloxan $$ Union Carbide 7158 Silicone Fluid $$ Dow Corning 345 $$ NUC Silicone VS 7158 $$ Dow Corni",47620513,11781250,,,,,,,,12.87,36949064
9.812,"Cyclopentasiloxane, decamethyl- (CAS) $$ Dimethylsiloxane pentamer $$ DECAMETHYL-CYCLOPENTASILOXANE $$ Decamethylcyclopentasiloxane $$ Dekamethylcyklopentasiloxan $$ Union Carbide 7158 Silicone Fluid $$ Dow Corning 345 $$ NUC Silicone VS 7158 $$ Dow Corni",,,,,26312958,,,,,,
10.094,1-Penten-3-ol (CAS) $$ 1-Pentene-3-ol $$ Ethyl vinyl carbinol $$ .alpha.-Ethylallyl alcohol $$ CH2=CHCH(OH)CH2CH3 $$ 1-Penten-2-ol,12983919,,,10.101,9695650,,,,,13.659,21866486
10.192,"2-Butenoic acid, ethyl ester, (E)- (CAS) $$ Ethyl (E)-crotonate $$ Ethyl trans-crotonate $$ Crotonic acid, ethyl ester, (E)- $$ trans-2-Butenoic acid ethyl ester $$ (E)-2-Butenoic acid ethyl ester $$ Ethyl crotonate $$ (E)-CH3CH=CHCOOC2H5 $$ Crotonic acid",5883781,,,10.197,6943706,,,,,13.903,7460287
10.335,"2-Butenoic acid, 3-methyl-, methyl ester (CAS) $$ Methyl 3-methyl-2-butenoate $$ Methyl senecioate $$ Methyl 3-methylcrotonate $$ Methyl 3,3-dimethacrylate $$ Methyl 3,3-dimethylacrylate $$ Methyl .beta.-methylcrotonate $$ 3-Methylcrotonic acid methyl est",12808556,,,10.341,17074675,,,,,14.557,6088672
10.59,"1-Propanol, 3-ethoxy- (CAS) $$ 3-Ethoxy-1-propanol $$ Dowanol PEAT $$ Propylene glycol .beta.-monoethyl ether $$ Propylene glycol monoethyl ether, .beta.",4275467,,,10.597,18207272,,,,,14.947,3641723
10.597,4-METHYL-2-HEXANONE,,,,,18207272,,,,,,
10.686,"Isocineole $$ 7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)- (CAS) $$ 7-Oxabicyclo[2.2.1]heptane, 1-isopropyl-4-methyl- $$ 1,4-Cineole $$ 1,4-Cineol $$ p-Menthane, 1,4-epoxy- $$ p-Menthane, 1,4-epoxy $$ 1,4-Epoxy-p-menthane $$ 7-Oxabicyclo(2.2.1)",,,,,26047227,,,,,,
10.688,"1,8-Cineole $$ 2-Oxabicyclo[2.2.2]octane, 1,3,3-trimethyl- (CAS) $$ Terpan $$ Zineol $$ Eucapur $$ p-Cineole $$ Cajeputol $$ Eucalyptol $$ Cucalyptol $$ Zedoary oil $$ 1,8-Epoxy-p-menthane $$ 2-Oxa-1,3,3-trimethylbicyclo[2.2.2]octane $$ 1,3,3-Trimethyl-2-",16025737,,,,,,,,,15.094,16027749
10.755,"Isocineole $$ 7-Oxabicyclo[2.2.1]heptane, 1-methyl-4-(1-methylethyl)- (CAS) $$ 7-Oxabicyclo[2.2.1]heptane, 1-isopropyl-4-methyl- $$ 1,4-Cineole $$ 1,4-Cineol $$ p-Menthane, 1,4-epoxy- $$ p-Menthane, 1,4-epoxy $$ 1,4-Epoxy-p-menthane $$ 7-Oxabicyclo(2.2.1)",8749400,,,10.76,12776461,,,,,15.24,14452528
10.897,"4(5)-acetyl-2-(2-propyl)-1H-imidazole $$ Ethanone, 1-[2-(1-methylethyl)-1H-imidazol-4-yl]-",,,37137972,,,,,,,,
11.238,LIMONENE,14010285,,,11.245,16538795,,,,,15.283,10699164
11.509,"2,4-di(trimethylsiloxy)-6,7-(methylenedioxy)-2H-1,4-benzoxazin-3-one",,,8445169,,,,,,,,
11.568,"1-Butanol, 3-methyl- (impure) (CAS) $$ 3-Methyl-1-butanol $$ Isopentanol $$ 3-Methylbutanol $$ Fusel oil $$ Isoamylol $$ Isoamyl alcohol $$ Isobutyl carbinol $$ Isopentyl alcohol $$ 2-Methyl-4-butanol $$ Fermentation amyl alcohol $$ iso-Amyl alcohol $$ 1-",,,,,1821769103,,,,,,
11.568,ISOAMYLALCOHOL,2293870794,,,,,,,,,15.765,10955643
11.639,5-ISOPRENYL-2-2METHYL-2VINYLTETRAHYDROFURAN $$ HERBOXIDE,248347999,,,11.647,398098233,,,,,16.162,581205796
11.709,HERBOXIDE SECOND ISOMER,97610240,,,,,,,,,16.485,12620366
12.326,1-Hexanol (CAS) $$ n-Hexanol $$ Amylcarbinol $$ n-Hexan-1-ol $$ Hexyl alcohol $$ Hexanol $$ Pentylcarbinol $$ Caproyl alcohol $$ n-Hexyl alcohol $$ 1-Hexyl alcohol $$ 1-Hydroxyhexane $$ n-C6H13OH $$ Hexan-1-ol $$ Hexanol-(1) $$ Epal 6 $$ UN 2282,,,255803897,12.356,5623202,,,,,,
12.35,TRANS-OCIMENE,4626418,,,12.655,263561871,,,,,16.929,5666732
12.649,HERBOXIDE SECOND ISOMER,208845576,,,12.812,25367927,,,,,17.145,67808246
12.807,"5-(1'-1'-Dimethylethyl)bicyclo[3,10]hexan-2-one $$ Bicyclo[3.1.0]hexan-2-one, 5-(1,1-dimethylethyl)-, (.+-.)-",31240764,,,12.88,43301257,,,,,17.839,173359495
12.872,AMYL ALCOHOL $$ N-BUTYL CARBINOL,55274395,,,,,,,,,18.125,5097601
13.296,3-Nonyne (CAS) $$ 3-C9H16,,,19697926,13.488,96448800,,,,,,
13.482,P-CYMENE,61948798,,,13.666,29506963,,,,,18.455,5474282
13.659,METHYL ESTER OF 3-BENZOYL-PROPIONIC ACID,29562357,,,,,,,,,18.785,4700928
13.666,"3-Hexen-1-ol, (Z)- (CAS) $$ cis-3-Hexene-1-ol $$ Z-3-Hexenol $$ Leaf alcohol $$ 3-(Z)-Hexenol $$ cis-3-Hexenol $$ Blatteralkohol $$ cis-3-Hexen-1-ol $$ (Z)-Hex-3-en-1-ol $$ Blatteralkohol (German) $$ .beta.,.gamma.-Hexenol $$ HEXEN-30L-1 $$ 3-Hexen-1-ol $",,,21286407,13.911,13541929,,,,,,
13.905,"2-Butanone, 3-hydroxy- (CAS) $$ Acetoin $$ 3-Hydroxy-2-butanone $$ Dimethylketol $$ 2,3-Butanolone $$ 2-Hydroxy-3-butanone $$ Acetyl methyl carbinol $$ Methanol, acetylmethyl- $$ 1-Hydroxyethyl methyl ketone $$ .gamma.-Hydroxy-.beta.-oxobutane $$ 2-Butano",13988316,,,14.564,7020690,,,,,19.027,194361232
14.558,"Butane, 2,2'-[methylenebis(oxy)]bis[2-methyl- (CAS) $$ Butane, 2,2'-[methylenebis(oxy)]bis@2-methyl-",8438976,,,,,,,,,19.409,4360270
14.621,"2-Hexen-1-ol, (E)- (CAS) $$ trans-2-Hexen-1-ol $$ (E)-2-Hexen-1-ol $$ trans-HEX-2-ENOL $$ trans-2-Hexenol $$ 2-Hexenol $$ 2-Hexen-1-ol, trans-",,,55386084,15.101,21993673,,,,,,
14.95,2-Propanol (CAS) $$ Isopropyl alcohol $$ PRO $$ propan-2-ol $$ Isohol $$ Propol $$ Lutosol $$ Alcojel $$ Avantin $$ Imsol A $$ Petrohol $$ Hartosol $$ Avantine $$ Takineocol $$ i-Propanol $$ Isopropanol $$ Alcosolve 2 $$ Isopropenol $$ Combi-Schutz $$ Iso,5824651,,,15.251,60555479,,,,,19.527,381099755
15.095,2-Heptanol (CAS) $$ 2-Hydroxyheptane $$ s-Heptyl alcohol $$ 2-Heptyl alcohol $$ Amyl methyl carbinol $$ Methyl amyl carbinol $$ 1-Methylhexanol $$ CH3(CH2)4CHOHCH3 $$ Heptanol-2,28348926,,,15.628,8002370,,,,,19.639,14555085
