Peak_ID,Name,MrAaHd0r1,MrAaHd1r1,MrAaHd2r1,MrAaHd0r2,MrAaHd1r2,MrAaHd2r2,MrAaHd0r3,MrAaHd1r3,MrAaHd2r3,MrAaHd0r4,MrAaHd1r4,MrAaHd2r4,MrAaHd0r5,MrAaHd1r5,MrAaHd2r5,AaHd0r1,AaHd1r1,AaHd2r1,AaHd0r2,AaHd1r2,AaHd2r2,AaHd0r3,AaHd1r3,AaHd2r3,AaHd0r4,AaHd1r4,AaHd2r4,AaHd0r5,AaHd1r5,AaHd2r5,MrHd0r1,MrHd1r1,MrHd2r1,MrHd0r1,MrHd1r1,MrHd2r1,MrHd0r1,MrHd1r1,MrHd2r1,MrHd0r1,MrHd1r1,MrHd2r1,MrHd0r1,MrHd1r1,MrHd2r1,MrAaLd0r1,MrAaLd1r1,MrAaLd2r1,MrAaLd0r2,MrAaLd1r2,MrAaLd2r2,MrAaLd0r3,MrAaLd1r3,MrAaLd2r3,MrAaLd0r4,MrAaLd1r4,MrAaLd2r4,MrAaLd0r5,MrAaLd1r5,MrAaLd2r5,AaLd0r1,AaLd1r1,AaLd2r1,AaLd0r2,AaLd1r2,AaLd2r2,AaLd0r3,AaLd1r3,AaLd2r3,AaLd0r4,AaLd1r4,AaLd2r4,MrLd0r1,MrLd1r1,MrLd2r1,MrLd0r2,MrLd1r2,MrLd2r2,MrLd0r3,MrLd1r3,MrLd2r3,MrLd0r4,MrLd1r4,MrLd2r4,MrLd0r5,MrLd1r5,MrLd2r5
Peak_01,isoprene,40669.03515,55330.98558,70851.85559,56626.67057,45278.31416,38799.31284,53820.07957,100220.4711,81325.7159,62996.95061,26693.35797,22880.77885,40648.94787,20609.91547,25455.16772,28789.936,100615.2402,319926.7861,37566.40389,85127.1475,352149.3817,15570.01337,49011.11282,175069.1217,38870.09654,78324.57806,333786.1484,34343.63041,93179.33518,303907.038,57705.33716,0,0,64121.20952,21760.53711,2126.052137,58408.9974,15757.59005,10667.31156,49395.35398,9616.046697,8607.23709,79767.6382,34214.13845,16921.39811,0,122524.2802,207226.273,5006.261843,94808.58724,131618.2341,0,56679.63714,64092.13477,18969.704,295378.4805,244225.5024,655.8598843,277457.5772,132792.7777,5156.152039,96324.20296,285395.4024,10202.91619,90418.73956,72578.59786,12483.45813,274125.7658,359397.037,5918.300996,41530.34959,195117.6392,13140.51446,0,0,5821.071289,0,0,867.7223493,2941.2544,0,28463.94449,7173.386796,0,28065.87389,0,0
Peak_02,acetaldehyde,58554.19651,335064.996,632311.6503,55873.25549,920628.4264,651059.4336,96517.23606,753803.8906,819817.4405,95825.92704,481347.6172,736111.9586,101562.5029,540731.3659,835878.8804,15219.16406,21535.58227,0,13079.26588,0,20524.43702,35275.93731,12012.3817,31999.8002,33531.8794,0,4786.505201,11323.57077,46005.39149,14322.33826,0,775332.9428,1216901.592,19192.82841,913932.8667,1851767.189,37215.7972,350916.7105,798351.1581,42267.63431,735058.2978,1089026.893,49518.09753,453922.0999,730433.4021,188639.5109,175711.4154,315899.9709,44462.0022,163630.5695,208389.1326,103731.3861,428353.2092,449590.7187,138351.1844,157086.1706,263445.2617,202072.4705,147238.5145,452555.2757,2318.500259,0,0,0,0,0,75783.77135,22409.35106,37695.86891,28723.53181,46807.36635,13695.39059,131318.1695,443545.1318,410818.96,107306.2806,232682.6346,580185.6722,223071.2242,56141.30362,47458.20193,73594.96701,54982.52272,75103.68817,50331.9544,206646.8583,45139.16385
Peak_03,isobutylaldehyde,109954.6543,334588.8954,129629.4001,187474.4438,430349.279,148901.5278,267588.5337,296352.991,144256.8111,224550.0193,323543.4696,133523.2136,302792.8725,394400.1961,171386.779,969.9886741,295.1328172,0,1044.261826,3868.773767,0,235.8332671,0,0,3140.051879,0,0,0,0,0,0,372396.7642,138090.6668,33167.68871,778426.375,203239.7189,42346.50357,291709.1958,89563.17397,221963.047,755439.1663,257834.5253,317247.1654,413237.3651,167567.8549,153509.0451,124521.9112,95150.77142,156872.2178,171095.0205,55571.95738,186607.5866,175235.0589,92376.64986,31209.25807,374584.1763,201661.4682,28943.55703,310853.6241,320674.4654,0,0,0,0,0,0,24510.91467,47794.4066,0,37048.02293,0,0,145435.1376,208052.3105,99716.31361,130609.2048,149077.9901,106939.7828,33971.13281,0,0,25528.60406,2687.455283,0,29957.26502,3449.398819,0
Peak_04,2-methylfuran,2138.673288,864934.0837,1314923.995,1805.710784,564155.9721,830631.1231,2002.869192,968056.231,1689868.542,0,627303.8041,937498.7763,2149.115018,584680.273,1234418.442,5270.691046,47365.86517,96674.43712,3779.384235,38063.07359,78488.88076,0,23123.30383,77259.1456,0,30525.94292,96460.82712,0,25783.64166,68590.52098,2114.410301,173773.7514,242221.3647,2991.273756,322254.7864,488057.6274,0,612636.2175,1034512.037,0,509437.502,915832.2711,0,872691.6674,1122700.926,2363.351564,92514.62314,142680.748,2615.10523,47857.64085,82126.25349,0,41576.9796,84079.93694,0,18132.09463,53982.58597,0,19510.92172,39511.11218,0,6049.649859,21500.35196,2446.907325,3555.864924,6702.903533,3592.38489,11235.89258,17914.69964,0,4171.776687,12833.4906,1818.837111,124338.084,181527.6143,3050.056705,94713.88069,114235.7797,0,32481.7478,106760.443,0,39791.69994,90601.20029,2359.131822,35553.88135,125823.799
Peak_05,EtAc,2033.835017,9835.588351,58920.02077,807.2892804,16094.70383,77461.69308,69.3172547,11211.52901,84507.30837,3505.924382,16717.7682,78164.1069,479.4988721,11485.00273,119732.5724,2051.131289,2869.759117,27.24369398,3225.425126,6635.547229,7174.826795,0,0,3325.412985,0,0,0,0,0,2282.29608,4599.060825,14532.27843,72620.63501,1617.924639,27496.49719,126900.4259,0,7539.276842,38349.40795,1748.509375,8969.272708,65438.21199,24.30808002,6446.943887,38881.1047,0,6848.603496,22224.06599,0,5578.108047,14044.1415,0,2745.695619,15200.9148,0,0,6964.222038,0,0,7203.461742,0,0,0,0,0,0,0,0,0,0,0,0,0,5420.278431,17641.14175,0,5444.719304,13595.45685,0,0,0,0,0,0,0,0,0
Peak_06,ethanol,105684.215,10416790.75,16808625.42,224473.9146,12046409.05,20898554.67,383335.2445,12361356.05,18618714.93,426643.7349,12117775.03,19043770.23,491168.7919,16389571.55,20860551.69,61727.78985,0,34247.29029,78342.22193,13873.80809,96170.98871,283803.1701,281787.5084,366090.9673,195214.599,261847.0803,252998.8818,61098.81089,87166.13392,189728.3583,0,12816718.15,19842289.94,34124.4936,15962415.99,22420081.73,62054.19115,8838627.492,12275107.28,135265.838,14905195.17,16967919.28,185632.3464,9860952.803,17913520.56,1249888.167,5347761.297,8261401.482,593261.8728,4371584.826,6614085.819,704615.371,5137160.455,8296231.301,1497592.814,2537430.105,4613294.3,2163806.666,2030282.39,5262533.134,0,0,0,41454.74718,0,64711.00386,503732.8391,252535.2925,342095.2078,353683.4022,58252.37308,146755.0549,7312037.509,5774666.405,6513795.182,1917268.999,4838292.165,7991465.05,3455649.891,922778.9673,799784.1584,3096639.921,366786.835,571885.5664,1283345.928,1212234.078,825958.1813
Peak_07,"2,5-dimethylfuran",285.1515603,439571.2825,877583.0586,0,258839.1314,419592.4706,1376.073792,530084.8296,1053852.658,3589.194359,322757.1308,623597.4895,1277.595239,368297.4471,911154.1589,1725.916349,166586.371,231780.7644,6130.041464,195136.2151,224420.9516,0,98852.73335,173069.3979,0,166005.6264,258186.8214,2451.415964,211209.0871,234083.7861,0,256620.9951,431095.0272,1762.429356,548786.9581,1142684.91,2386.565396,467895.5059,1058385.235,2719.855631,295984.9868,806958.8262,4684.187358,535770.3128,982945.1351,0,62305.51391,112227.604,79.27996688,39608.0029,50201.41966,0,35074.07067,60226.02141,1827.471015,54357.35198,88209.75562,748.5826511,62802.25345,76666.50258,0,19843.03384,38365.01096,0,7212.916654,10667.86905,1500.552392,51854.56429,70069.34468,1823.898808,12651.79486,21178.42984,0,60273.94827,146964.2809,0,61099.45079,80935.76641,2007.996926,26089.36807,42126.31623,873.3137305,21406.04961,50197.23657,0,20418.98476,54832.06646
Peak_08,1-propanol,0,65368.57342,152281.6344,0,89105.40007,187853.4706,5345.260915,91736.69614,173898.1592,0,89267.13443,185540.6783,0,120543.3171,205706.9083,0,0,0,0,4411.600854,0,0,0,0,0,0,0,0,0,0,0,87290.24682,192205.2608,0,115875.7381,233823.9312,0,56979.80317,97367.07871,0,84501.75008,149537.2139,0,66311.08566,148171.8969,0,42763.88058,64659.55749,2509.568229,36139.68729,52258.99116,3395.072352,41156.04509,66364.61875,0,17740.02924,27855.11491,0,13972.04465,34787.52515,0,0,0,0,0,0,0,0,0,0,0,3207.689464,0,43384.6362,48304.55699,1393.889235,36974.4246,61890.82677,0,2367.20116,2854.464935,0,0,3260.841942,0,1933.937872,3977.284361
Peak_10,isobutanol,24915.95012,550719.5421,1311491.623,5582.104068,686493.6185,1536188.664,15369.75066,712897.1625,1379909.521,30392.07973,894127.6579,1600185.322,41647.84439,1056471.168,1857340.763,5111.003509,5533.402037,7542.752277,9632.234296,13203.70908,13047.7806,1312.618959,1267.094117,2867.284349,3054.549688,6600.723888,5533.2382,2090.284566,5701.919958,6157.966326,0,1072440.987,2366780.365,0,1338193.491,2804375.175,2757.331818,593172.3699,1138905.964,10059.51917,1369317.82,2245992.265,17842.76874,765707.4028,1684752.675,39644.28359,471500.255,758119.0616,42774.44409,432507.6144,650170.6976,54310.97991,443024.9173,722287.8361,3998.548126,119290.0919,329636.8083,4547.524387,109894.9496,328320.9989,0,0,0,0,0,0,6474.087258,7170.809338,8465.470673,860.431772,766.5975635,802.8387749,25020.41778,479940.452,688390.889,35326.30106,487209.9806,862351.7816,1777.271681,4380.248416,7923.663856,2858.233899,7820.685313,9314.320732,1601.411865,10153.06772,11729.55281
Peak_11,isoamyl acetate,0,23928.54725,85767.13127,0,30041.01038,73017.39251,0,40580.38386,121177.6928,0,29984.45884,89638.91822,0,39218.84001,155946.4717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22350.03102,76104.32569,0,53840.45155,202206.0277,0,25495.15329,77057.03803,0,32994.38277,121061.1535,0,25994.76263,96801.9841,0,16204.23075,29082.50158,0,7661.164116,13696.88633,0,10465.42516,20629.21872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17927.06977,47174.89446,0,12430.19102,22568.51537,0,0,0,0,0,0,0,0,0
Peak_12,3-methyl-2-heptanone,8118.513005,70153.57838,33799.35132,0,15437.86391,0,4332.898042,80584.88189,34788.60422,7499.387006,65198.53415,20715.25163,7850.43794,52132.0755,25531.38765,0,125683.3711,59118.88995,0,129394.8485,82940.778,0,55343.93885,24342.31765,0,115246.6668,67221.62015,0,112375.1556,61667.45796,0,46070.69045,13386.73571,0,78153.57377,33078.41143,0,110938.478,53548.62452,0,114197.5142,48071.1978,0,111528.6705,42430.96953,0,3211.172061,0,0,2772.880774,0,0,2607.018004,2292.451506,0,13165.77035,6329.385145,0,15616.28734,5032.265803,0,4182.038985,0,0,8473.277537,8205.406751,0,11180.7139,4069.16973,0,8796.43328,3867.827517,0,2843.877537,0,0,3272.064361,0,0,9888.303486,4131.688161,0,15683.91464,9220.223033,0,12977.00284,7183.722333
Peak_13,2and3-methyl-1-butanol,243324.9534,7021491.026,16436902.97,409341.9888,8887400.223,18263961.3,698513.5921,9138351.209,17263295.03,581569.7336,10342188.02,18001900.67,702135.8093,10307955.78,20024939.48,291.0991309,36237.33576,11943.45753,30280.81133,48544.48465,37859.28466,29174.50909,47988.35018,31151.96517,56492.02958,82862.91689,49369.38151,48448.16164,86563.69998,50009.21748,150596.8899,13376088.13,24643186.73,357373.3436,18022502.39,28966161.09,120435.034,8799854.301,16069739.3,323975.2224,13643714.61,22959849.77,475606.2151,10292666.45,18468857.6,520533.871,5985372.23,10239785.69,502336.2196,5363003.119,8808472.646,580737.746,4865812.355,9200152.549,206012.3525,1477344.625,4160021.743,233603.4117,1607772.057,3904107.334,1785.882531,1219.230206,0,0,0,0,39353.61692,20465.20784,20747.0884,16157.31462,36386.41055,30064.5226,371846.4293,7384904.501,11908401.67,431163.5875,7447351.723,11433791.52,136841.3593,496139.2792,675372.052,161503.7039,487705.69,688956.8081,213795.4255,681063.0704,883390.0085
Peak_14,3-methyl-3-buten-1-ol,18595.53798,48797.25572,57524.62088,0,22008.59112,34660.88418,1296.629455,24784.45733,27675.96709,17026.63849,43367.63277,40346.26718,17986.41655,42427.3506,46776.81672,1536.790278,2880.464961,0,2936.246044,8334.981648,5151.728169,4522.473674,5792.159902,4382.422525,9475.016343,8193.282487,10014.48424,7655.917781,12646.13897,9848.646133,0,19471.63377,25534.49812,0,23397.81474,37539.95085,8910.117353,21748.56068,34444.7712,0,29613.39983,39166.89321,0,20461.68064,27556.75664,0,14787.37696,20519.04049,0,10078.53232,19997.04048,0,9083.177019,16308.83667,0,8655.532152,12495.49639,3692.259146,9157.540566,10340.24283,0,0,0,0,0,0,6677.67959,12969.98888,7663.013854,0,2469.241602,2536.709408,0,12332.31212,18812.00372,0,16213.89014,18123.98613,0,18743.72655,16848.69979,0,19353.4094,21330.36731,0,15087.53492,19559.59768
Peak_16,acetoin,26045.1222,599345.8322,1106910.042,17201.94121,754424.3702,1346886.683,22391.94115,835185.6934,1323622.589,27980.13914,798552.9968,1104651.3,27613.19953,840541.3352,1346223.369,15561.70086,452899.7393,520571.8903,15858.88951,424047.5313,488844.053,14834.70287,412766.2411,572466.2215,0,327900.3636,479458.8216,18404.14661,520412.1268,584431.6943,6901.104475,319555.1232,702714.8918,4332.272742,454337.1709,1008423.633,5477.107552,109547.5238,209141.3349,5000.553779,217330.3733,414859.8233,5905.775228,145102.4968,283660.0098,21546.25877,610582.6674,821302.7911,22816.84452,551519.2007,674740.2889,35674.4125,570473.3549,791788.555,12813.58596,324579.4534,547364.3505,15680.89836,383076.0341,603749.0352,8553.550649,352327.0902,499667.9982,9754.675778,317319.0649,403085.2797,9122.972744,349724.3685,559856.5326,12439.76635,311453.961,468340.3987,2231.454533,123665.7709,205748.5151,5287.344155,118462.5026,160464.9119,502.8119343,14642.60019,15458.57859,1528.815312,14197.51602,10718.97917,2387.524311,15769.02528,15281.62385
Peak_17,4-penten-1-ol,0,104269.0655,230203.4014,4977.316309,97892.75496,200752.5738,10066.77882,111205.7644,242812.5964,10209.66656,162292.2197,340572.8927,14338.43252,140662.3631,356506.6416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645692.2946,852432.3804,4170.085154,747512.2251,932729.0187,0,647800.2247,947751.3593,0,702464.3307,989409.7483,5653.94434,719147.8805,931133.3231,992.2187704,14901.10823,29918.04588,0,13471.89098,31653.10772,0,6538.182262,24532.606,0,6622.722919,23151.31839,0,5434.893667,18560.58636,0,0,0,0,0,0,0,0,0,0,0,0,0,57111.86891,98054.23819,0,71519.56096,61283.90115,0,7094.729999,11476.97854,0,5835.654465,10550.61902,0,8794.460984,19825.18797
Peak_18,2-heptanol,3709.192937,23272.70107,35019.87034,0,8178.549108,12906.73683,0,35178.72882,38641.95127,0,25630.72611,28681.02354,0,19277.68906,26498.56064,3638.457732,8567.806855,11190.65201,2915.69005,7444.285665,12061.63837,0,6229.656939,7794.012612,0,8254.162369,14159.45975,0,8270.634562,13096.67069,0,15199.47201,15114.32881,0,25298.76213,32978.60177,0,27996.11865,39297.74578,0,26613.11456,42252.50626,0,27787.60517,35106.03332,0,0,8917.033354,0,5544.147345,13992.18908,0,0,5993.121354,0,7622.742079,22275.59083,0,8613.672733,21044.33799,0,0,0,0,0,0,0,9731.301424,18362.90697,0,15313.22528,22424.74492,0,2924.551207,3899.690762,0,11670.31299,10767.78271,0,6841.417899,11813.55486,0,6926.408039,15558.70213,0,5435.184972,10781.77341
Peak_20,1-hexanol,9816.960241,89151.19756,130554.9935,0,40108.9881,53726.59391,9470.929462,174852.7423,194067.5805,7963.730524,151398.6997,141936.1554,1143.154023,73756.40713,93227.83606,3662.326185,41893.24997,33763.38867,6513.643566,33773.05302,38402.44969,488.875764,24652.72761,31945.44644,1122.791777,27976.08455,46393.08825,0,37058.21732,39614.83869,757.1327675,61821.92517,63944.88138,5612.038721,122603.4981,148992.6526,9961.769862,169661.4134,210008.1772,11358.581,190178.7623,239405.302,9474.772431,205363.8082,208924.9929,7912.391378,28793.04707,39404.84604,18138.51993,250853.5372,365759.0006,5248.915798,24486.6708,34925.44386,3165.059597,23478.55615,42365.54703,4325.993202,29082.70976,33359.44062,1372.247717,11176.74097,12870.53248,3037.927437,10922.48421,10720.24982,1381.491284,18735.65124,23589.00424,2206.672863,60613.79699,71510.35195,5299.798977,55895.9019,69803.23945,24655.68631,536757.7421,564249.2808,6601.539524,278034.8589,273154.863,3821.226536,59870.55397,58068.18832,4946.094278,62859.79566,49622.16305
Peak_21,unknown 2,0,25881.90131,36863.75554,0,38043.32936,42914.24362,0,44091.69953,50059.12525,0,33933.1034,35156.23991,0,27823.48628,32126.36501,0,27800.78333,35025.35718,0,20105.03182,29539.89687,0,21609.30927,36938.86581,0,19390.00653,35723.08762,0,24096.5618,34548.91836,0,14364.00649,13951.10985,0,0,15971.82569,0,11401.32579,14003.06991,0,13293.52365,15794.81885,0,9669.571104,13557.78295,0,11941.74314,13759.93087,0,20483.80392,24663.68323,0,17825.40687,15627.37893,0,12906.7789,24073.41783,0,18154.79506,20550.69752,0,9837.53167,13293.46972,0,11174.82635,13500.21441,0,11979.5941,20626.63096,0,15785.70543,22614.40098,0,0,0,0,15324.088,16771.22556,0,6402.928564,8090.313962,0,0,0,0,0,0
Peak_22,unknown 3,0,5383.969379,20256.3273,0,0,19798.36217,0,5414.010708,21192.91593,0,4073.08836,20813.70522,0,0,19108.31429,0,9192.468197,29236.25192,0,8116.692032,30157.94136,0,5567.661537,47026.66288,0,7384.528292,35191.73808,0,6333.751717,30464.19782,0,0,23499.41365,0,6692.44907,25891.43862,0,4934.884092,29442.25821,0,0,31013.61126,0,7403.378157,32057.06976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2945.950252,4503.729547,2028.48781,0,3978.061385,3475.121559,0,0,0,0,3082.266772,0,0,0,2285.230275,0,0,0,0,0,0,0,0,0,0,0,0
Peak_23,2-ethylhexyl ester acetic acid,0,58818.64775,67003.77194,0,24441.74138,19957.59841,0,70232.48398,61251.31145,1668.432918,53380.18708,34595.98958,809.6620981,67094.33129,57659.66935,0,0,0,0,0,2161.567955,2579.344151,0,2790.441703,0,0,0,0,6419.405908,4696.837791,0,36172.33278,21392.49306,0,42676.96748,41332.2172,1837.042398,32028.8508,32940.23202,0,35888.70589,31949.9918,0,29771.30349,26512.41073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peak_25,3-octanol,4855.900347,20522.9896,56876.58083,0,19743.05761,65875.37878,0,30956.96918,116258.8591,0,7816.912528,21058.26705,2262.809244,15397.67134,42217.05759,0,15233.98605,29596.48325,3964.814068,9930.193033,20958.73069,0,5720.888214,19501.89128,0,0,6752.802932,0,6162.379891,12429.21416,0,3949.153118,4131.697114,0,7512.360578,16521.35699,0,8174.801195,12836.56387,0,9713.847639,16119.01361,3880.304,6719.539552,13848.93998,0,0,0,0,0,2941.820008,0,0,0,0,0,0,0,0,0,0,2709.399036,0,0,0,0,0,0,0,0,0,5138.644911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peak_27,1-heptanol,0,18501.2168,20222.80025,0,0,0,0,33469.75548,29755.77342,0,22118.23354,11541.64698,155.2213001,9376.416898,4805.363764,0,6366.347316,0,0,2503.349782,0,0,0,0,0,0,0,0,0,919.9624951,3378.578615,4684.488067,0,0,17459.29865,16610.29764,0,23253.14235,22226.29916,1737.947492,22033.93434,28386.47316,1300.826807,29148.59618,22959.06245,2547.49039,6024.263989,5487.988068,5297.17164,9823.815502,11044.42524,3681.435828,5793.904155,6468.42682,0,9719.582165,11470.06214,2530.986869,9495.424855,8013.827859,0,0,2155.432865,0,3923.995581,3341.582402,0,6778.691446,5505.285166,0,6482.444641,6343.914293,0,5433.350501,5729.660795,2284.373105,9743.649091,9747.665212,0,14768.86285,10506.75361,3156.043728,15193.59141,11604.49908,0,14965.06366,10671.53968
Peak_28,2-ethyl-1-hexanol,0,5326009.842,6074341.111,0,4824.301175,0,0,8187432.559,7519301.591,0,6596975.467,4066685.298,0,6033388.241,5592670.425,0,6732029.237,4568090.877,0,5374400.483,4198467.677,0,3719404.02,2090838.689,0,5288455.443,5446618.1,0,7134338.928,5387932.981,0,5684906.994,2506477.127,0,4237742.011,3491969.167,0,6070539.356,5390986.464,0,7627618.824,7080923.819,0,6738353.902,5452232.138,0,365769.3757,459118.8267,0,86532.30357,95484.02716,0,318549.549,315834.9964,0,186567.547,293456.7477,0,348390.0281,442216.9449,0,603860.1697,579686.4654,0,90056.00988,80162.7719,0,325165.2234,382611.304,0,204424.4998,106846.721,0,49399.02014,51301.51921,0,0,0,0,62958.39713,21715.83113,0,97750.20879,93380.51587,0,103876.9151,73540.26423
Peak_31,1-octanol,0,19769.96443,25014.27967,7646.339552,17649.74028,12271.79608,3671.456066,26060.76854,25883.04041,2008.240756,22557.25373,18846.32681,1767.006906,16296.14594,16314.11553,0,6544.849767,4021.601181,3643.186154,4395.390283,3633.172419,2831.950823,3919.03714,5188.499022,0,5914.722964,10128.78405,2305.293011,8280.860645,7611.405567,0,12311.36468,8247.088838,0,21918.45242,22682.74586,3648.327814,19604.34588,21057.24059,0,23638.24767,21248.5223,1137.688775,24770.26465,20440.00497,2618.822319,0,5642.20569,2778.485731,5916.561945,6032.734232,1982.397733,4414.881039,6087.202388,0,8589.088677,11829.27652,0,5486.806455,10111.69215,0,0,0,0,0,0,0,4075.509194,4769.594751,0,5292.019156,3553.504392,0,4168.584616,5581.545755,0,5966.446229,5275.645918,0,7197.194129,5708.359153,0,9071.587369,6116.629521,0,7347.049012,8901.741668
Peak_32,2-furanmethanol,203465.967,367967.1888,408759.5559,225631.0272,605309.1347,537148.5925,208547.8685,568469.6149,474767.9003,158970.9994,449113.2086,359372.5309,144730.7148,328934.8244,353590.7292,294741.956,790463.0815,596508.8133,222349.7207,563389.5021,529824.3464,294633.2284,754482.8259,778867.3035,201194.3076,509544.6528,565893.1931,233019.8698,577072.5344,448611.4774,63222.33058,122900.2994,120520.9247,36245.82436,123434.3308,122781.7702,103342.7223,304270.8933,324721.9342,56548.897,301423.5546,333202.5944,61857.3434,363154.4935,303515.5186,11968.16735,18890.1373,17926.94969,13069.61814,16270.33531,19649.40972,9995.300897,11318.41739,12220.49539,8132.078754,15097.20977,15174.56095,9239.881101,16814.44756,13589.25951,18056.82393,24757.49047,24690.16709,16218.6223,27450.55659,27108.1768,14103.87046,29853.80705,28993.03733,13911.18805,21104.60621,27770.0959,10730.30143,16977.85843,22219.06464,9420.885362,25107.20274,18413.22553,0,27584.87895,18621.743,6738.935388,17005.56225,15378.31156,7284.785028,19819.18735,23413.86113
Peak_33,1-nonanol,0,18345.94405,31010.03319,5486.132214,20759.71824,21305.5469,0,27875.93579,31953.60903,0,29060.81054,23471.36058,0,24333.44074,27647.62738,0,0,3525.775019,0,0,0,0,4334.299949,5065.268322,0,2212.582515,5122.475753,0,5527.488319,5729.027928,0,14049.88719,14666.65324,0,14653.61298,23502.28098,0,17487.00122,27612.40977,0,15428.22035,28852.2924,0,20102.01708,21513.30315,0,0,6835.329087,0,0,7616.148509,0,6774.013928,8579.039717,0,10027.86803,14373.22682,0,8098.79507,9695.651877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5203.025084,0,5818.429678,4858.706561,0,5347.622671,5380.397969,0,8943.32946,8045.833228,0,10332.57401,8916.510198
Peak_34,2-phenethyl alcohol,38993.43288,626416.3676,1012858.622,43509.30443,471667.1034,862028.1058,76445.7235,624958.1626,1063604.85,27582.53363,691117.3428,1170537.774,37931.90581,408216.3027,966729.7625,23991.68169,0,12446.00201,0,0,12393.06629,6726.242186,0,11193.35044,10153.40027,3746.369932,0,0,0,9149.461372,76168.56762,1295934.326,2120844.885,79029.02611,1052312.785,2017030.911,83707.9575,832428.2973,1512666.864,38444.09925,784343.6033,1814131.81,25329.91648,620336.5746,1063043.991,33852.0532,216009.8776,329032.3475,32962.5368,205132.2779,299887.2892,34861.28882,181664.1885,281569.7291,22505.31463,74709.77808,203196.2306,14877.03942,99988.99391,161933.6834,0,0,83.54773063,0,0,0,5565.730783,276.1292536,2091.486522,0,220.4499982,0,15404.49708,303105.9148,486156.3736,25203.27847,310263.5537,372501.8329,17768.46698,313548.1488,412258.6173,15366.07623,317730.4968,422957.6679,16350.33957,304566.5854,317470.8357
