Peak_ID,a2,b2,c2,d2,e2,f2,g2,h2,i24,j24,k24,l24,m24,n24,o24,p24,q48,r48,s48,t48,u48,v48,w48,x48
Peak_001,51886520,24433426,36688299,33029669,21898957,22346039,24694847,30325409,0,31772595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peak_002,0,0,0,0,3605558,0,0,0,47239366,0,18423676,8243924,23569732,27325196,29678251,29056748,48095191,29704359,30804935,25704301,28544315,26642180,26474422,31066256
Peak_003,11833949,2300603,0,0,0,0,3368099,0,5465220,2127354,0,0,3211450,0,0,0,7398403,4055442,735074,3470755,0,3841297,6835653,0
Peak_004,0,3714039,0,3617903,0,0,2228508,1791661,0,1735573,0,0,0,0,0,0,0,0,0,3902375,1132260,0,0,0
Peak_005,1425419,0,0,0,0,0,0,0,0,10721828,0,0,2173539,1989582,1682663,2020890,0,2635762,0,0,2437560,2414133,0,2934514
Peak_006,0,9104292,1458308,9263218,7196312,7108430,7470956,6550115,966180,0,0,0,2036235,1627946,2431375,2172647,2237987,2133698,0,1806405,1659030,2375058,2434055,2277574
Peak_007,0,156017790,0,173111573,157644398,137529277,200200502,214685978,909868,0,0,3217230,8388384,9115884,10708256,9551071,0,13973457,0,12535048,12766199,12629051,12755599,11910653
Peak_008,0,5352597,0,6142699,4957053,4703065,6925205,0,0,93266257,0,0,0,0,0,0,0,38105518,0,25336914,25974762,29058673,34170550,38491178
Peak_009,0,76680031,0,68039538,69232439,71725965,75036430,75477688,0,0,0,33239193,58219515,59867239,78713670,90565435,0,4730688,0,0,3518661,0,3643292,3471391
Peak_010,0,194965193,0,177295937,171449847,174326402,202077478,205549328,0,2198545,0,0,0,0,0,0,0,152483526,0,128250118,132089605,134591233,138648708,136117191
Peak_011,402651066,134798298,52852188,128941280,655896677,503896700,205950067,241961232,0,3308126,0,0,0,0,0,0,0,164177177,0,128155626,122592996,135288816,140457825,149509105
Peak_012,0,0,0,8836984,0,0,10312850,11883522,0,0,0,1863752,1937553,2564557,5107398,3714165,163808755,103362876,62561284,99942690,186906257,105035843,123268235,114343132
Peak_013,0,32867997,0,26904067,30201488,25789370,27718173,26731562,0,126429552,0,0,0,0,0,3097405,0,7967809,0,0,0,0,0,5787501
Peak_014,0,18164686,207447,17462706,20688582,18855866,18184335,19641422,0,205781615,0,40421706,105052489,103638103,111980979,111751572,0,20148459,0,21753363,21684664,27021210,24850111,21471384
Peak_015,23645035,1776100043,0,1708675709,1668855837,1680268651,1906758006,1972152515,0,121218117,0,65504005,148823820,159147862,168107807,179911604,0,16610360,0,14144367,15755754,15245186,15784627,17242929
Peak_016,0,230346836,0,233687148,228008289,237343541,257542697,285136293,156663590,10219221,26320366,58647236,442954426,150230473,190369500,188825721,4985602,1245469918,1388489,1033454837,972043034,1096477662,1133386985,1215452527
Peak_017,1946092,143028939,0,147250109,142124096,147351710,161860334,351414629,0,20963824,0,0,0,0,0,0,1817240,0,1279350,0,0,0,0,0
Peak_018,5561334,0,0,0,0,0,0,0,0,18427209,0,0,0,0,8205084,8619932,8045397,172911472,0,149326348,142378296,158557934,160557272,169283849
Peak_019,0,102585614,0,0,0,0,141836714,0,0,0,0,13589370,27298031,31125549,25654903,24159284,0,108617517,90339,58971875,54076109,61793174,63424456,107324259
Peak_020,2306017,0,0,0,0,0,0,0,0,0,1152182,11108342,22360395,16585464,18769307,18135889,0,0,0,33473311,34593501,36565682,38199174,0
Peak_021,2883479,1157692967,41824458,1109720322,1122539775,1169981082,1181372158,1184384422,0,1730893970,0,0,0,0,0,0,0,108018348,0,97006379,91735291,101126414,106401414,131548976
Peak_022,0,133029461,0,134720136,137190863,136025385,150917098,163642340,8194872,231520052,0,673433806,1461680412,1467792162,1509764581,1605478136,0,22120909,736982,0,0,18836306,0,0
Peak_023,0,33287673,0,29078964,30720687,29424206,36973795,38015989,2407279,144858968,0,116108607,224265971,203995651,211761796,217623568,2519095,1448717724,3292838,1298598456,1343432742,1317845364,1347611283,1342433589
Peak_024,0,126781919,0,123940814,123373287,124889172,143593352,152868629,689268,124458117,0,77124684,132867680,124462836,129051658,135927274,0,0,0,22111678,0,0,0,0
Peak_025,0,22740693,0,21216154,21636323,21648131,25107307,26590752,0,0,0,81163574,154153385,109839901,118133613,122041567,0,81655492,0,67397412,64844855,73330578,75155755,76629381
Peak_026,0,33110293,0,31978475,29876319,30655653,35477376,39058318,0,1282016118,4673676,24266000,0,0,0,0,0,18765418,0,18008820,16990712,17972679,18302532,20742927
Peak_027,182378360,47705900,17550221,42135524,242973496,222531474,54912029,62477378,3909422,145034160,10056639,905252462,1316866953,1211557002,1196076433,1194490474,0,26775551,0,23333435,22353165,25702510,25069745,25631544
Peak_028,0,95938062,0,84665949,95973490,96362301,95437170,98883101,0,0,0,0,0,129447471,132012052,135900239,70264085,57890977,33262255,53527529,130631768,57597636,62057972,59956553
Peak_029,0,44456221,972289,40671844,41647421,43220984,47254320,49345776,0,27903579,0,0,0,0,0,0,0,83396353,0,68963523,73653002,72638020,74141067,75688823
Peak_030,14501978,60710527,3079901,59775182,59769330,60077539,66365719,72466451,0,116106414,0,29634898,32277274,29232623,29294560,30523893,0,30519681,1341986,26214169,25034401,27594192,28521150,29567722
Peak_031,0,13420839,0,0,13908919,13493485,14597652,16529011,0,0,0,74052106,103264499,102057159,104981682,109752998,0,41708669,1798103,36951030,35500427,35373444,37435015,40305938
Peak_032,461764,19065076,0,18811464,18627366,18652784,21063722,23435532,0,22249940,0,0,0,0,0,0,5912393,0,4604286,0,0,0,0,0
Peak_033,0,25927273,0,25633831,26874203,24204591,29144392,32091711,0,36551896,0,15398376,23006577,21819247,22232096,23607372,3762805,10986778,0,0,11031502,13299807,0,10348996
Peak_034,0,92111842,0,88879866,88375239,86380277,106848840,114225302,0,0,0,24147561,31337402,29860205,30054846,33042383,0,11464832,0,8844075,0,9748320,10307507,10446150
Peak_035,2413893,39629153,0,33096950,28861895,38293409,35086987,46833907,0,48451940,0,0,0,0,0,0,0,15724742,0,14900125,13869772,14687968,12347396,15235327
Peak_036,0,11524194,0,12030906,11895418,10166941,14088316,13054968,63787648,97208687,6478075,25248754,234884722,60073961,66462396,65448971,0,31842544,0,27047963,25745169,29581790,33043980,32138664
Peak_037,0,48190741,0,42216494,43887178,46168835,47422939,51559030,0,0,0,39005360,104353326,83870102,85243359,88264484,3769753,34733105,0,20415799,21795751,23347798,23453083,30021108
Peak_038,0,74744758,0,64888294,67767066,66955277,77130515,73005563,0,41762497,0,0,0,0,0,0,0,51843741,813950,45134343,44108335,46091972,48129125,49504825
Peak_039,1526929,33362371,0,33452627,25409584,35298507,28484878,41689306,4392118,55093145,0,17771108,39547938,37366115,37178538,38628964,0,54549009,0,45459466,43572844,48630827,49452343,50974775
Peak_040,0,0,0,0,7710260,0,8569060,0,4374856,0,0,33244069,52942343,49381413,51011977,51970640,0,11283419,1493648,11081326,9517536,9264412,10411942,19191397
Peak_041,4162941,0,0,0,0,8577010,0,0,0,15172803,0,0,0,0,0,0,2224773,12830232,0,7994315,14816824,15851575,8549270,0
Peak_042,0,12244784,0,10797492,11856286,11720729,0,0,2689601,0,0,0,0,0,0,0,0,0,0,6195275,0,0,0,0
Peak_043,0,101451456,0,91969219,100193622,96767992,111368433,117101830,0,15550111,0,0,15255553,13542975,13513371,14557925,0,21592124,0,23578220,22865349,25850999,32561340,44232103
Peak_044,0,0,0,0,0,0,0,10473788,0,20461035,0,8451178,14474538,14636475,14749764,15838188,0,6920665,0,7187565,6368250,6935068,6939177,7678276
Peak_045,0,8610189,0,0,7519378,0,7315413,0,0,64405942,0,14632923,22959404,21025883,17392870,17193233,0,5234439,0,4579085,4147536,4656782,4899462,4715346
Peak_046,0,7052897,0,4166902,6200022,5967626,6090661,8726425,0,0,0,30685246,52099507,54419520,59501145,63195755,0,4818754,0,4758596,3516573,4613751,4765307,4730390
Peak_047,0,23629926,0,23902928,24783919,24590411,31169137,28143845,0,27658084,0,0,0,0,0,0,0,281077839,0,239225494,239478322,246102753,243060322,245136852
Peak_048,0,246102279,0,216319094,224493357,245215406,241866607,248561913,6539179,0,0,24591880,31828799,26735515,27214385,36686403,0,12901308,0,11397510,12995710,10763442,12208356,11465440
Peak_049,0,19062540,0,17588328,16350723,16688790,19429119,18008451,0,60712484,0,4601722,0,8260134,0,7500668,0,99344152,0,91547201,67844364,97836010,94934353,88084917
Peak_050,0,0,0,0,0,0,0,6309811,0,0,0,26142402,55529258,46299409,53376194,47008776,0,6705528,0,6875083,5553466,6444094,6173152,6613988
Peak_051,0,480316801,0,493228185,498247630,508832166,611912152,610862137,0,74447884,0,0,0,0,0,0,0,5997114,0,5155037,3935728,5448894,5699697,5673927
Peak_052,0,21745374,0,24896434,24371692,31997758,25949583,71853200,0,0,0,27448194,68716160,62994397,62843450,66659427,0,6058932,0,5443581,4356234,5763634,5853709,5617310
Peak_053,0,13115353,0,13119657,14033340,12478219,15866595,16411230,559451,34468774,0,0,0,0,0,0,0,9931323,0,9116283,7316924,8649610,7440168,9237927
Peak_054,0,37339345,0,35294663,37318547,36617648,44769226,48412343,1444184,0,1606476,8089821,18248232,16029573,16097496,17330371,0,10921525,0,9428926,9144098,9166131,9698630,10893178
Peak_055,0,15725072,0,13229521,15339875,15358335,15972111,18008623,744184,0,0,0,0,0,0,0,0,7124972,0,6059221,6287688,5586666,6048296,6313377
Peak_056,0,6383883,0,5744525,6180474,5362628,6628387,7351712,1362613,0,0,5754517,18240582,18615529,16874800,7973716,0,3995191,0,4128881,3522493,3807390,4493105,4237331
Peak_057,0,6406838,0,5278459,7038800,6274803,5765440,8116858,0,16508236,0,0,0,0,0,0,19144952,29030525,17756753,34760828,38844806,25137166,20816118,21332240
Peak_058,0,4703699,0,2883129,3332293,3524711,2958002,4412703,0,0,0,9056493,10438481,11997579,8701028,8648286,0,13027059,861185,11332098,11003623,11098162,10887018,11219944
Peak_059,63178903,21145989,11046780,12696628,26653704,24615600,11231632,14087259,0,56160749,0,0,0,0,7074027,6494110,1408330,6788509,62748,6491098,5735672,4764101,6496289,7020259
Peak_060,0,11847674,0,9346525,10090223,11398091,9577260,11429967,0,0,0,20642597,47065637,62491037,51826988,59350208,3661880,0,0,0,0,0,0,0
Peak_061,0,15142745,0,12594841,14059725,13705750,13621521,15497372,0,9142583,0,0,0,0,0,0,0,9044884,0,8878642,8271265,8449912,9583800,9295839
Peak_062,1466402,26633908,0,23677835,25740798,25588691,26602438,31354291,0,0,0,0,8614272,8194536,8391567,8036362,0,10223860,0,10717244,8488890,10275462,10661878,10144808
Peak_063,1790512,0,0,0,0,0,0,0,0,6200976,0,0,0,0,0,0,0,4861554,0,4456734,4281492,4248574,5086882,5140041
Peak_064,0,0,0,0,0,0,4507123,8598508,0,0,0,0,5705007,5861350,6302067,5502891,0,10053246,0,7807888,9214588,8273206,7835456,12698990
Peak_065,0,51267169,0,47899910,50882693,54619798,58318088,68491492,0,12108307,0,0,0,0,0,0,940988,3464844,2013989,3507761,0,2385960,3603270,4290729
Peak_066,0,18163491,0,16179199,17570421,18788926,14971830,18579567,0,0,0,0,10609776,12963970,10442424,11736640,1506192,1892210459,698354,1629627301,1607878119,1689092863,1680844013,1666881842
Peak_067,0,42068647,0,34831045,39092276,42522401,44217936,43513701,0,285717954,0,132561922,245226694,249844782,246885765,255930450,0,13175559,0,10024443,9217073,9229599,0,9648447
Peak_068,3792297,13947903,0,11138450,13818970,17220786,12720770,21253428,0,14973311,0,0,0,0,0,0,0,6376542,0,7551187,9664778,9014709,6854745,5924324
Peak_069,6020278,2042998884,0,1851862162,1907102902,2198096440,2145084221,2383394768,0,0,0,4879432,14385284,14369935,13921899,13487259,0,0,0,0,0,0,1772971,0
Peak_070,0,110768197,0,116967674,119337596,0,139428529,0,0,252100936,0,0,0,0,0,0,0,0,0,0,0,0,2998043,0
Peak_071,0,18624464,0,16092826,18455880,18555226,20014542,23573686,0,0,0,80963004,213921199,258951328,212344303,230639385,0,0,0,6675537,0,0,6874848,0
Peak_072,0,20635021,0,17975502,16359835,16620661,23374175,20743746,0,12330769,0,27118711,0,0,0,0,0,69608572,0,68713842,49384542,68585006,69916267,64946112
Peak_073,0,10615975,0,8379950,10054526,9516119,11658785,12607656,0,9891314,0,0,14272032,17568939,13531184,11593615,0,17862200,0,15673683,14405576,13459778,16940750,15449946
Peak_074,0,21920817,0,18924880,22066512,22390527,25318620,28993617,0,14433574,0,7988049,10306808,10387652,10340508,10530121,0,27533102,0,23550990,22530787,19469652,28165501,24270374
Peak_075,2391733,0,0,0,0,0,0,0,0,10404835,0,17014161,12917262,14805157,13006370,13924471,0,15875346,0,18886217,10811227,20324191,17228136,17393170
Peak_076,0,439421551,0,459352641,471415495,498861104,596787256,621052697,0,0,0,0,11186462,10072990,11895678,10708182,425089,0,0,0,0,0,0,0
Peak_077,0,35619415,0,36853764,38398209,39274946,47122919,45400687,0,13247929,0,0,0,0,0,0,0,14380270,0,12432627,11304161,10627415,11127988,13900819
Peak_078,0,47037441,0,29611380,45688552,34626882,48435938,42505982,0,0,0,7384235,12911708,12812697,13363835,13027748,0,10888521,0,10799043,10311065,11653562,10072556,9931546
Peak_079,0,243964113,0,230031243,249011439,272190241,311727714,321229665,0,3131238,0,0,0,4340355,4207413,2971885,0,1451281,0,1001696,1079674,1021616,1171727,1160922
Peak_080,0,34375011,0,22814207,26856556,30589959,28830018,41331706,0,6130055,0,2776303,5869407,6442151,6334576,6493056,0,2004378,0,1911631,2339841,2229994,1495886,1877136
Peak_081,0,31097023,0,21255336,34397058,37463881,39042049,53344287,0,4196059,0,0,0,0,0,0,0,1098011,0,1001099,1175228,1267506,1057412,1109749
Peak_082,0,4306664,0,0,0,3252407,5150891,5141406,0,0,0,1930034,4071440,5141882,5067151,5035756,0,3857714,0,3109100,3054671,3492889,3193944,3382059
Peak_083,0,0,0,0,0,0,2230866,3567091,21817077,38411450,2558081,11543177,44360987,16696083,16728028,15169091,0,49673413,0,44492603,41679102,47192589,45666795,47181107
Peak_084,0,6321564,0,5918001,6196459,6753349,7738240,7526299,0,12888121,0,0,0,0,0,0,0,2700322,0,1545117,1093503,2337531,1814519,2227170
Peak_085,0,104625275,0,101866735,103365559,114094054,124879564,129237201,0,10397588,0,4201524,12337581,11218594,11160466,10788996,8394261,12994068,3202570,10406258,10448027,12587393,12190627,11815496
Peak_086,0,0,0,0,0,0,3327041,2187480,0,0,0,4032368,9092302,10333609,9750552,9942365,0,0,0,1257683,0,0,0,0
Peak_087,0,4456873,0,4558989,4669070,0,7001676,0,2255700,17802869,0,0,0,0,0,0,0,11552808,0,9658930,7141968,10294501,9848273,9829106
Peak_088,24399828,23401261,2078857,21053628,22781535,28686537,23175526,29426775,0,0,0,5626021,16066667,17274504,17018906,17364851,16882844,776695778,8351516,657704015,657644878,699606855,703175324,693686660
Peak_089,0,7792984,0,6657197,6771547,7766664,7559254,7538757,0,0,0,0,0,4986503,0,0,0,0,1672469,0,0,0,0,0
Peak_090,0,6901418,0,7195239,7248163,8470927,9315819,9575369,0,21784192,0,10188207,21113127,26373319,21518896,24510280,1986923,0,1023600,0,0,0,0,0
Peak_091,61836166,842118584,17733719,753152334,778944067,862299227,882428618,894571031,0,9038368,0,0,7869319,10523951,7620199,9723466,4013518,0,0,0,0,0,0,0
Peak_092,0,0,2914942,0,0,0,0,0,0,17246028,0,9780487,21084571,25270726,18507762,23052211,0,21732093,0,16007338,16473863,19712311,19550824,16700235
Peak_093,0,21085629,0,19429418,16797872,22433207,22533613,24560017,2028819,6116001,0,0,12715090,9956785,7530095,8100496,0,13074833,0,12484405,9881160,14652531,12771454,12378785
Peak_094,0,83621655,0,87494469,90150364,97737673,116689876,119643365,2005884,2085113334,0,961204560,1842074959,1917594411,1847344561,1808856768,0,71598513,0,58761238,59378114,63607065,63569951,62286043
Peak_095,4158182,69458006,0,61400066,61494519,71601455,72700272,73099074,438533,0,0,0,94440957,0,0,74266727,0,4253374,0,3042008,3849326,3700919,3384349,3518628
Peak_096,3150823,4678585,0,4874095,4702406,5078594,5101023,4751869,0,13847078,0,11167232,0,14374063,14227508,13378052,0,3104679,0,2568876,2752754,3188980,2770217,2849514
Peak_097,0,8770387,0,9244592,9304085,10406755,8846123,11430141,0,10369944,0,11926224,15972201,12850043,11358815,11161448,0,1588102,0,0,0,0,1199221,0
Peak_098,0,7202873,0,7637011,7595567,8750508,9703366,9878852,0,6853075,0,0,6928182,7420969,6374799,6570551,0,3181733,0,2396925,2618426,3107319,2672853,2701144
Peak_099,11897471,197662212,0,174465279,181546018,201006783,206709600,200250340,0,10500765,0,10344239,12375569,13038771,11338338,11641972,809213,206377021,614932,167053113,170573454,181619810,182054736,178000878
Peak_100,0,4339858,0,4945396,4686460,5452475,5401923,5179246,0,196354863,0,79340482,201109406,216481854,171084538,184891282,0,5280344,0,3875481,4313547,4607515,4713435,4355136
Peak_101,0,4139823,0,4279493,4855555,5117981,5259478,5139181,0,26407893,0,8889239,28227199,25712007,22849801,23315450,0,4510118,0,3104607,3904918,4411950,3766860,3917569
Peak_102,0,2708811,0,3717992,3439397,3907125,4311818,4557283,0,38998109,0,13668246,41289429,31419279,29377027,37226430,1655498,7979461,1349837,9243983,10277900,10762858,10944345,11051466
Peak_103,0,18091564,0,9147355,9883942,12443182,13901063,12943123,0,2054129,0,0,0,0,0,0,993577,3756984,0,0,0,0,0,0
